%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004, 1.028, 0.08600000000000001, 192.0, 255.0, 224.0, 32.0, 32.0, 2.0, 176.0, 0.0, 0.0, 0.0, 1.6527978239480815E9, 0.0, 2022-05-17 16:30:23.948
1.0, 60777.5447699481, 28039.056424982122, -42368.75979527948, -8153.737563340374, 11452.877396688153, -21221.39438645773, 27625.191524647656, 22084.574053832777, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652797823948116E9, 0.0, 2022-05-17 16:30:23.948
2.0, 60803.76336619418, 28102.200103068368, -42326.11266685875, -8081.250856071813, 11512.42244391709, -21143.543260519895, 27691.263281257547, 22140.833394626785, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244276166E9, 0.0, 2022-05-17 16:30:24.427
3.0, 60856.40172438642, 28142.27678087673, -42265.69590159606, -8043.074076542149, 11555.740124671474, -21106.349957746264, 27723.114517106358, 22186.498008548977, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277203E9, 0.0, 2022-05-17 16:30:24.427
4.0, 60843.59417481354, 28089.593719195575, -42316.88139639871, -8100.69687374793, 11534.170691272104, -21169.71715327706, 27680.221519496623, 22184.53105503691, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652797824427726E9, 0.0, 2022-05-17 16:30:24.427
5.0, 60796.99078762422, 28026.56179983161, -42407.47301667607, -8167.573293158209, 11482.135830180148, -21245.690732680647, 27610.059393651416, 22072.92879497156, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277315E9, 0.0, 2022-05-17 16:30:24.427
6.0, 60772.78384837912, 28039.346997660043, -42449.42724101868, -8143.902795780039, 11458.867664202175, -21223.942485325635, 27615.781440231975, 22071.4088763486, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277365E9, 0.0, 2022-05-17 16:30:24.427
7.0, 60793.12393583345, 28097.774457666215, -42385.03186524294, -8075.662919957987, 11510.768414827397, -21161.111731661767, 27665.826996067408, 22114.547743147345, -0.004, 1.028, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527978244277415E9, 0.0, 2022-05-17 16:30:24.427
8.0, 60840.979020712264, 28132.263199360754, -42304.27501252592, -8046.046858554704, 11551.917976369617, -21138.84939418428, 27685.608289910353, 22139.581696937286, -0.006, 1.012, 0.11800000000000001, 192.0, 255.0, 208.0, 31.0, 160.0, 3.0, 176.0, 0.0, 0.0, 0.0, 1.6527978244277468E9, 0.0, 2022-05-17 16:30:24.427
9.0, 60830.58545954055, 28086.911509860936, -42352.57713229384, -8104.4296150719665, 11517.5186416529, -21190.414868642674, 27642.827051022894, 22185.738049237498, -0.006, 1.012, 0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652797824427752E9, 0.0, 2022-05-17 16:30:24.427
