%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
25.0, 14478.878912792077, 27113.582445810134, -30002.143085258376, -13432.481996116878, 2130.635336713235, -393.7706820691445, 8442.410342980666, 4406.378198430324, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970329773E9, 0.0, 2022-05-17 11:26:37.032
26.0, 14535.54058498628, 27167.740722625345, -29980.327782669996, -13395.132231132058, 2199.478709635581, -310.7339514176788, 8496.389805840232, 4538.320545950001, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597032984E9, 0.0, 2022-05-17 11:26:37.032
27.0, 14553.01964915033, 27156.833071331155, -30038.777594420626, -13447.971755024404, 2194.2931049219496, -324.03323936858646, 8469.143029349212, 4595.00456988866, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970329897E9, 0.0, 2022-05-17 11:26:37.032
28.0, 14504.359901471127, 27096.192788623906, -30105.63166208645, -13523.207726860968, 2121.158197064185, -421.97858357174204, 8398.75738605945, 4481.055376655505, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970329952E9, 0.0, 2022-05-17 11:26:37.032
29.0, 14453.15205492402, 27064.185090563908, -30098.456752116294, -13532.349590343189, 2083.2719902124395, -474.66164525290077, 8373.142286913668, 4325.978973624584, -0.082, 0.886, 0.506, 192.0, 253.0, 112.0, 27.0, 176.0, 15.0, 208.0, 0.0, 0.0, 0.0, 1.6527795970330007E9, 0.0, 2022-05-17 11:26:37.033
30.0, 14472.15103771103, 27114.74473652181, -30018.37045173293, -13451.19040622597, 2124.1086273322853, -420.5704236710577, 8431.882671342215, 4282.728348103565, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330071E9, 0.0, 2022-05-17 11:26:37.033
31.0, 14542.603736234158, 27186.270318778792, -29990.721343841717, -13385.65509148301, 2188.4369478746594, -316.43364625378206, 8475.759145707983, 4481.189487122237, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330129E9, 0.0, 2022-05-17 11:26:37.033
32.0, 14559.009916664352, 27173.976859328373, -30051.451033526784, -13438.628725842087, 2183.184287927662, -313.48321598568157, 8452.178055307633, 4638.076381454037, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033018E9, 0.0, 2022-05-17 11:26:37.033
33.0, 14519.760253400835, 27116.97991096734, -30093.651127058405, -13507.203877830969, 2135.284499559939, -403.851318818488, 8421.936145059604, 4533.000830769638, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330236E9, 0.0, 2022-05-17 11:26:37.033
34.0, 14475.727316823879, 27092.258881599773, -30081.75999900818, -13501.727700439418, 2104.215574767062, -448.0407176066301, 8422.00320029297, 4411.653210121776, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033029E9, 0.0, 2022-05-17 11:26:37.033
35.0, 14488.57956988568, 27131.84382103012, -30016.358794731954, -13416.724016275886, 2147.265034587984, -381.3654638964491, 8475.401517796698, 4423.097303282893, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330343E9, 0.0, 2022-05-17 11:26:37.033
36.0, 14551.723247971922, 27191.43357174797, -30006.255806238154, -13383.486972270844, 2205.9830672720755, -300.8991838573437, 8505.934000722647, 4529.066923745504, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330396E9, 0.0, 2022-05-17 11:26:37.033
37.0, 14563.346155088682, 27170.892318593542, -30051.071053871045, -13455.928976050494, 2180.211505915106, -322.9156521458211, 8469.098325860301, 4567.266055019624, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033045E9, 0.0, 2022-05-17 11:26:37.033
38.0, 14515.692235909968, 27107.860399229576, -30092.95822298029, -13505.505145252366, 2112.8880516157215, -420.36925797095995, 8401.32783667181, 4458.435411266734, -0.082, 0.886, 0.506, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330503E9, 0.0, 2022-05-17 11:26:37.033
39.0, 14474.207398200919, 27084.413419295957, -30067.074902901044, -13503.873467907128, 2084.3672256907494, -467.03970039364106, 8381.546542828864, 4377.209171916148, -0.078, 0.89, 0.502, 192.0, 253.0, 144.0, 27.0, 208.0, 15.0, 176.0, 0.0, 0.0, 0.0, 1.652779597033056E9, 0.0, 2022-05-17 11:26:37.033
40.0, 14505.365729971616, 27148.51822239378, -29984.440503649774, -13417.014588953805, 2136.4691420160702, -381.6560365743681, 8437.582366178318, 4409.552146142977, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330613E9, 0.0, 2022-05-17 11:26:37.033
41.0, 14562.250919610373, 27210.43255453498, -29945.906096208826, -13375.619158222577, 2208.1064829953293, -289.7903668630561, 8489.05843365889, 4527.323487677991, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330665E9, 0.0, 2022-05-17 11:26:37.033
42.0, 14573.60560579367, 27187.27614727928, -30023.80192563557, -13432.727865305886, 2189.889811264254, -300.1392245458632, 8463.778610679938, 4629.113331927459, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033072E9, 0.0, 2022-05-17 11:26:37.033
43.0, 14531.807843662244, 27112.174285909452, -30095.796894526113, -13504.745185940885, 2118.923022618654, -400.8338333170216, 8401.059615738346, 4546.255415231635, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330772E9, 0.0, 2022-05-17 11:26:37.033
44.0, 14478.968319769898, 27079.83131168262, -30074.294516360107, -13504.834592918705, 2087.8540978257774, -455.9979386327194, 8376.718566026517, 4373.476430592112, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970330825E9, 0.0, 2022-05-17 11:26:37.033
45.0, 14504.382253215583, 27139.510469378292, -29996.868073566926, -13421.999027967338, 2132.669345458668, -384.27119067563905, 8451.753372162982, 4379.734919039598, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033088E9, 0.0, 2022-05-17 11:26:37.033
46.0, 14555.92537592952, 27189.734839169367, -29972.057637221533, -13392.539428775244, 2194.896602022243, -300.27333501259506, 8512.416006614687, 4513.934792749261, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033094E9, 0.0, 2022-05-17 11:26:37.033
47.0, 14573.538550560303, 27179.006001830818, -30042.778556678124, -13431.252650171835, 2178.3563111253156, -312.9691258632095, 8474.641558485218, 4577.257284791146, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970331037E9, 0.0, 2022-05-17 11:26:37.033
48.0, 14532.724265184912, 27115.705861533388, -30100.96014749529, -13499.693691693985, 2118.5206912184585, -399.7162460942562, 8392.275380167412, 4516.684057317264, -0.078, 0.89, 0.502, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652779597033109E9, 0.0, 2022-05-17 11:26:37.033
49.0, 14485.606787873125, 27087.16268386396, -30073.355743092987, -13499.269008549334, 2092.480908928026, -460.3565288015043, 8377.858504993737, 4371.956511969151, -0.076, 0.89, 0.5, 192.0, 253.0, 160.0, 27.0, 208.0, 15.0, 160.0, 0.0, 0.0, 0.0, 1.6527795970331144E9, 0.0, 2022-05-17 11:26:37.033
50.0, 14498.593151401657, 27126.23353317184, -30001.941919558278, -13428.659847815019, 2130.0765431018526, -398.24103096020593, 8457.810694910371, 4328.772941681497, -0.076, 0.89, 0.5, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970331197E9, 0.0, 2022-05-17 11:26:37.033
51.0, 14549.041038637286, 27172.971030827885, -29983.904061782847, -13401.569533535187, 2183.5866193278575, -308.16350080531845, 8498.49086981903, 4472.047623640015, -0.076, 0.89, 0.5, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527795970331247E9, 0.0, 2022-05-17 11:26:37.033
