%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
27.0, 31518.261911661855, 30865.814491011442, -30060.704655731282, -18280.57536847298, 22962.796445226246, -3258.303196227932, -4057.780391905355, 6001.979828116873, 0.02, 1.018, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177078743E9, 0.0, 2022-05-17 15:10:17.707
28.0, 31548.39206318761, 30915.345956724403, -30024.42777448032, -18239.55991739749, 22209.944988482595, -3119.7670840939386, -4015.848519307199, 6076.522895875322, 0.02, 1.018, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177078876E9, 0.0, 2022-05-17 15:10:17.707
29.0, 31521.592321585696, 30883.360610408858, -30053.909725416866, -18288.28672031006, 22554.050094372047, -3075.5776853057964, -4016.6531821075896, 6110.832823614219, 0.02, 1.018, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177079003E9, 0.0, 2022-05-17 15:10:17.707
30.0, 31475.32421056321, 30822.20623757914, -30114.773525568668, -18356.05720949855, 23534.57642013746, -3192.276143106955, -4062.362499518693, 6056.29456714327, 0.02, 1.018, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177079139E9, 0.0, 2022-05-17 15:10:17.707
31.0, 31484.689591489983, 30826.318958558913, -30115.265263946687, -18353.48675888619, 23782.099638235526, -3315.255441100054, -4088.1787643645725, 5989.418147732991, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 160.0, 31.0, 240.0, 4.0, 112.0, 0.0, 0.0, 0.0, 1.6527930177079265E9, 0.0, 2022-05-17 15:10:17.707
32.0, 31519.915940751547, 30870.508357347055, -30071.90287970339, -18292.868827923397, 22987.271605404807, -3265.2769404979877, -4064.7764879198658, 6005.71256944091, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652793017707939E9, 0.0, 2022-05-17 15:10:17.707
33.0, 31552.705949867483, 30921.604445171888, -30036.676530441826, -18242.13036800985, 22252.34624771431, -3117.1519299926676, -4023.805740333288, 6079.696843587976, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177079515E9, 0.0, 2022-05-17 15:10:17.707
34.0, 31530.28715017881, 30887.7415523221, -30066.76197847867, -18286.967967387198, 22604.1850571853, -3070.8614672257268, -4027.873757824154, 6105.06607354475, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177079644E9, 0.0, 2022-05-17 15:10:17.707
35.0, 31490.836321215193, 30838.6794732427, -30103.7541155522, -18352.838558296986, 23552.99425756863, -3195.0030559305023, -4063.636548952645, 6049.298471128759, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177079773E9, 0.0, 2022-05-17 15:10:17.707
36.0, 31493.831454972205, 30841.786365721986, -30100.222539928265, -18345.127206459907, 23796.85178957603, -3318.0717609014227, -4085.764775963399, 5989.015816332796, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177079897E9, 0.0, 2022-05-17 15:10:17.707
37.0, 31527.448478632985, 30894.670593103245, -30055.451995784286, -18276.417944004294, 23006.047070747267, -3268.6297021662836, -4064.3071012863043, 6009.937049142963, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177080023E9, 0.0, 2022-05-17 15:10:17.708
38.0, 31557.176298758546, 30937.094204079414, -30021.164419789842, -18238.308219707993, 22268.908890355695, -3122.784569595405, -4024.3645339446707, 6085.105965746161, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177080152E9, 0.0, 2022-05-17 15:10:17.708
39.0, 31528.47665887793, 30907.67930837623, -30046.399539279886, -18278.451952749725, 22602.598083328972, -3073.2754556269, -4020.452978664992, 6118.410064984569, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.652793017708028E9, 0.0, 2022-05-17 15:10:17.708
40.0, 31481.51564377733, 30845.96614193513, -30097.24975791571, -18348.792892550577, 23567.634650186857, -3188.074015149357, -4058.51799947238, 6063.335366646692, 0.02, 1.022, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6527930177080405E9, 0.0, 2022-05-17 15:10:17.708
