%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
83.0, 35946.32130221383, 41223.50111287846, -34537.55790442919, -21659.443874292836, -21440.754406542113, -26992.01130771772, -8954.689974151846, -29340.397338914558, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605482E9, 0.0, 2022-05-06 15:40:01.605
84.0, 35931.99383401797, 41229.26786294793, -34490.01574397275, -21674.91128145591, -21439.43565361925, -26936.46722274628, -8962.58013994457, -29331.546048110253, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016054888E9, 0.0, 2022-05-06 15:40:01.605
85.0, 35909.73149654049, 41250.45731669156, -34411.51641744571, -21633.404092002405, -21397.973167654654, -26827.614227248938, -8955.606395674515, -29277.45482652841, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016054945E9, 0.0, 2022-05-06 15:40:01.605
86.0, 35916.77229604391, 41279.26871529445, -34341.91308521188, -21592.768620582658, -21371.642812686303, -26752.847642045934, -8941.301279223118, -29238.607494665088, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055012E9, 0.0, 2022-05-06 15:40:01.605
87.0, 35931.72561308451, 41275.93830537061, -34322.95880591378, -21612.639321403425, -21394.508647264083, -26748.9137350218, -8964.569445201094, -29264.155538577503, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605507E9, 0.0, 2022-05-06 15:40:01.605
88.0, 35959.73234888701, 41261.633188919215, -34305.70325919429, -21622.80936513059, -21427.94685696922, -26740.397720384328, -8994.341968815563, -29302.958166951918, 0.12, 0.846, 0.498, 192.0, 3.0, 192.0, 26.0, 112.0, 15.0, 144.0, 0.0, 0.0, 0.0, 1.651844401605513E9, 0.0, 2022-05-06 15:40:01.605
89.0, 35961.654598910165, 41245.85285733377, -34271.57214541103, -21623.502269208704, -21430.38319711485, -26730.361787123897, -8997.44886129485, -29328.41680388651, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055186E9, 0.0, 2022-05-06 15:40:01.605
90.0, 35958.50300294197, 41278.620514705246, -34220.498409330656, -21598.065984018565, -21409.529019538048, -26691.827379682945, -9011.619867279514, -29298.063134916203, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651844401605524E9, 0.0, 2022-05-06 15:40:01.605
91.0, 35955.19494476258, 41306.26962259646, -34170.74342617315, -21569.299288904585, -21379.42121975675, -26648.733216373115, -8944.34111646904, -29257.897050130017, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055295E9, 0.0, 2022-05-06 15:40:01.605
92.0, 35979.96067761906, 41309.55532903139, -34167.56947846049, -21559.777445766624, -21390.10535360639, -26657.740969388604, -8985.267160566707, -29303.5169605633, 0.12, 0.846, 0.498, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518444016055348E9, 0.0, 2022-05-06 15:40:01.605
