Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;10000;-2997,19070739246;2050,51227569483;3631,49455861562;145,622222490863;218,499047448343
2;9261;-3562,82224934405;2259,43098947887;4218,85420187027;147,618401378626;217,164023451714
3;8576,5;-4459,10820968317;2662,60527380757;5193,56456297327;149,157894888825;215,919001454857
4;7942,7;-5778,43620146701;3343,72781325408;6676,13964979414;149,943914390182;214,688977457962
5;7355,7;-7494,69359659706;4425,15884524614;8703,58908224263;149,440743839052;213,483952461005
6;6812,1;-9475,04431306367;5900,48693503523;11162,0881023687;148,087836097959;212,25393046411
7;6308,7;-11571,3781467301;7822,59613500844;13967,4551191716;145,940135837989;211,063909467115
8;5842,4;-13784,6599505354;10212,1934019634;17155,34155973;143,467564045694;209,843885470195
9;5410,7;-16004,0648683587;13133,7458673355;20703,2696166182;140,625964256195;208,623865473275
10;5010,8;-18157,8355143958;16484,9153022595;24524,669683617;137,764701460976;207,41384247633
11;4640,5;-20142,2369540368;20439,7435408007;28696,5646990414;134,579972040987;206,208821479373
12;4297,5;-21948,6817291205;24924,6521216127;33211,1865646147;131,367188410234;204,99379548244
13;3979,9;-23827,1715105832;30013,545427411;38321,6258960657;128,445379116131;203,778775485508
14;3685,8;-25298,5008902081;35663,1168358636;43724,9591165083;125,350912482903;202,5937534885
15;3413,4;-26754,344385973;41934,1170664352;49741,9854616272;122,538242334766;201,413729491479
16;3161,1;-28591,5221967828;48590,1597935895;56377,9989915897;120,473494535321;200,178708494597
17;2927,5;-31845,344592224;50694,597716859;59867,0878686416;122,136226518255;198,983684497614
18;2711,2;-37419,2896384851;46527,621630196;59707,8119814444;128,807569335659;197,798663500606
19;2510,8;-39937,4593795077;38933,087019036;55774,4200016607;135,729590316798;196,588639503661
20;2325,2;-40021,8703114141;29559,7121453459;49754,6649605779;143,550833611049;195,363617506754
21;2153,4;-34810,9555046909;31327,3227598411;46831,6535523659;138,015094769797;194,233598509607
22;1994,3;-28438,2890183244;76489,7601460632;81605,2675352028;110,39473686266;192,183560514783
23;1846,9;-21160,838442849;80630,8011444258;83361,3050329485;104,705148208331;191,013539517737
24;1710,4;-12936,619448143;87358,5896085606;88311,2637274713;98,4235073233792;189,828515520729
25;1584;-4505,80487041975;96641,7236295532;96746,7054923383;92,6694141282186;188,653492523696
26;1466,9;4913,06772576739;106979,65961932;107092,417129989;87,3705245369382;187,433470526776
27;1358,5;13765,4609209933;119853,789335881;120641,695663386;83,4481664605723;186,253451529755
28;1258,1;21374,9172570784;133525,901514345;135225,934875546;80,9052158370384;185,033429532836
29;1165,1;29732,3697717212;149738,427296005;152661,751664663;78,7693088152173;183,793405535966
30;1079;39238,4140747272;166546,302610789;171106,177715547;76,7428405530423;182,653385538845
31;999,28;18315,1903893236;34078,621508025;38688,4820442001;61,74466888114;180,643346543919
