Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;23,9897524605501;1,54052393745412;24,039164651051;3,67425603650601;139,437581647954
2;891,25;24,0105730356136;1,69835641641094;24,0705635998765;4,04600312547478;138,147556651211
3;794,33;24,0335481170542;1,87522317855309;24,1065944725534;4,46147743575703;136,847533654493
4;707,95;24,0651769493576;2,07262150667833;24,1542646651443;4,92247144465619;135,507507657876
5;630,96;24,098893305373;2,29337038023517;24,2077716084048;5,43617971140578;134,102482661424
6;562,34;24,1384154647962;2,53891045061991;24,2715711775603;6,00436845374408;132,787456664744
7;501,19;24,1804107666677;2,81324670066961;24,3435129314487;6,63618750206501;131,512435667963
8;446,68;24,2192988476459;3,1190632748646;24,419315968802;7,33839957373919;130,227408671207
9;398,11;24,2633499737612;3,45771884090007;24,5084877446963;8,11049096922483;128,862385674654
10;354,81;24,2974723899651;3,83488622171021;24,5982421500923;8,96904482126351;127,487360678125
11;316,23;24,3651313220372;4,26065252173186;24,7348495902251;9,91884026502167;126,142334681521
12;281,84;24,4129431158742;4,73034731893633;24,867005797576;10,9659648458708;124,812308684879
13;251,19;24,4843944705135;5,25545867439311;25,0420729666289;12,114450453383;123,497284688199
14;223,87;24,5297144055088;5,83993467917725;25,2153073721675;13,3914510681449;122,192262691494
15;199,53;24,5992344944274;6,49083227877806;25,4411721699896;14,7813490075442;120,832236694928
16;177,83;24,6825052740936;7,22109370229899;25,7171199955018;16,3073219064437;119,427209698475
17;158,49;24,7394857881838;8,02453407881827;26,0083698882852;17,9710614709874;118,017184702035
18;141,25;24,8286665097595;8,92854721040321;26,385254138273;19,7789092516156;116,642161705507
19;125,89;24,9259706341785;9,93703008633852;26,8337209308125;21,7352769745231;115,292134708915
20;112,2;25,0099021449199;11,0539554812696;27,3438317922042;23,844621300805;113,927108712362
21;100;25,1173908090737;12,315728458708;27,9742826275201;26,1199484753874;112,527083715896
22;89,125;25,2261473308632;13,7113743903357;28,711675270356;28,5257691565978;111,117054719456
23;79,433;25,3616945719742;15,2851446573923;29,6116733529112;31,0767922254775;109,66202972313
24;70,795;25,4994970112161;17,034612756842;30,6659808191517;33,7443974091423;108,147002726955
25;63,096;25,6537350540569;18,9889433876264;31,916987533322;36,5089151503024;106,836976730263
26;56,234;25,8217753082293;21,1806906327921;33,3973911518658;39,3608197785224;105,261947734239
27;50,119;25,9973520896378;23,6157924848877;35,1221862981488;42,2517635724497;96,1917797571391
28;44,668;26,1994108361474;26,3422327536917;37,1526897358846;45,155744517747;94,5267477613429
29;39,811;26,4093140855887;29,3855180336229;39,5089931607432;48,0533735870416;92,9767207652563
30;35,481;26,6565183770184;32,8048418339743;42,2697009657792;50,9034223184853;91,5366947688921
31;31,623;26,9052640341823;36,5876893619692;45,4153305129118;53,6705809244011;90,0766677725783
32;28,184;27,2083752072724;40,8532250728635;49,0844341953104;56,3362611313332;88,4866387765927
33;25,119;27,5360517201689;45,6135308866766;53,2806563800186;58,881390093495;86,8116057808218
34;22,387;27,8897916229708;50,8968816564678;58,0373417648088;61,2787300791553;85,0265737853285
35;19,953;28,311206244139;56,840172268356;63,5006266307236;63,522818182021;83,2665417897722
36;17,783;28,7821041600879;63,4979124259141;69,7165289033469;65,616335637712;81,44150679438
37;15,849;29,3184129540292;70,9337081148444;76,753894266447;67,5436495124873;79,6364717989372
38;14,125;29,9122691091363;79,1835274058317;84,6449930928433;69,3055040999026;77,6714358038985
39;12,589;30,6108516614612;88,4428235031645;93,590369529412;70,9088057913749;75,7163988088345
40;11,22;31,3649670442142;98,8378974248508;103,695183711925;72,3938172740024;73,6213608141239
41;10;32,2515250878809;110,308470763118;114,926583489599;73,7023586050639;71,5363258193881
42;8,9125;33,2325763685364;123,134892846218;127,540605174745;74,8964293947444;68,3262628274928
43;7,9433;34,3546062803339;137,491669456876;141,718728976503;75,9709385249118;66,0212228333124
44;7,0795;35,656190623798;153,542264271367;157,62801415795;76,9262736587851;63,7061788391574
45;6,3096;37,108963895848;171,443361156269;175,413515117798;77,7867198574438;61,3111328452043
46;5,6234;38,790931230858;191,33910635193;195,231631569559;78,5395284423129;58,941091851188
47;5,0119;40,701250470731;213,588542628527;217,431960235976;79,2111155583175;56,4760438574117
48;4,4668;42,9261684599796;238,548177233619;242,379637758902;79,7989352003537;54,0259978635975
49;3,9811;45,4379446035988;266,171945186778;270,022427243206;80,3124780434158;51,5109518699473
50;3,5481;48,3248962024663;297,070836969507;300,975709602524;80,7605523232776;48,9609068763856
51;3,1623;51,7185465296537;331,799672823604;335,806240175776;81,140438549826;46,3958588828617
52;2,8184;55,6374377662853;370,408676475692;374,563895870479;81,4577169276782;43,8308098893378
53;2,5119;60,1096007064796;413,362037512593;417,709633781237;81,7262500122259;41,1157608961927
54;2,2387;65,283253574452;461,215978798784;465,813355644282;81,9435344596078;38,4257109029844
55;1,9953;71,3481402769828;514,899152351248;519,818905209322;82,1109199845937;35,6306589100412
56;1,7783;78,4100964378868;574,70182202402;580,026143773819;82,2307558824134;32,7956049171991
57;1,5849;86,6443166758582;640,867275003374;646,697844269236;82,3003809123804;29,9655529243443
58;1,4125;96,4579488306611;715,075379479761;721,551754367449;82,3176294461603;26,9454969319692
59;1,2589;107,591062181884;797,372043214931;804,598043722566;82,3153745736827;23,9454439395436
60;1,122;120,90098349245;889,225115719053;897,406459880362;82,2574171498836;20,8903879472568
61;1;135,983806652531;988,17188962682;997,484475628746;82,1646541772175;15,7752959601712
