Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,467695427678311;1,73350334991393;1,79548680786967;74,9012222994446;142,003629641475
2;891,25;0,478073503192151;1,93800105842631;1,99609678545804;76,1427220870648;140,678605644821
3;794,33;0,490135828681228;2,16790063865814;2,2226169957173;77,2603086714804;139,413584648015
4;707,95;0,505307438432205;2,43321585658297;2,48513078369363;78,268107237265;138,063555651423
5;630,96;0,520610830104379;2,72098062962475;2,7703377453327;79,1683887105203;136,693533654882
6;562,34;0,537519949039144;3,04069455290063;3,08783922179485;79,9750849596659;135,213503658619
7;501,19;0,557040065739217;3,40007334553236;3,44540162968534;80,6957872393739;133,943482661825
8;446,68;0,578438350173137;3,79990913888285;3,84368318006524;81,3446389466606;132,633455665133
9;398,11;0,603425209677179;4,24768728328701;4,29033439725531;81,9146785670324;131,298431668503
10;354,81;0,63124699024405;4,74961457961692;4,79137886391818;82,429477346775;129,968405671861
11;316,23;0,662753217893306;5,3089324853497;5,35014074224495;82,8841579734424;128,558380675421
12;281,84;0,698460767530141;5,93465646641262;5,97561668935617;83,2876312395154;127,148353678981
13;251,19;0,739825608223487;6,63468385511176;6,67580495430056;83,6373014484598;125,793328682402
14;223,87;0,783432447455919;7,41353553998061;7,45481559814073;83,9676027170468;124,478307685722
15;199,53;0,835323172384078;8,28489685684576;8,32690102804726;84,2426203208363;123,098278689207
16;177,83;0,893306258124458;9,26286046180317;9,3058358037116;84,4914552182676;121,733253692653
17;158,49;0,960067854741736;10,3479321668747;10,3923736661048;84,6993455670769;120,34822869615
18;141,25;1,03338995671452;11,5584426962261;11,6045461938234;84,8910179755687;118,93820169971
19;125,89;1,11917105891995;12,9164838888937;12,9648794792383;85,0478764410347;117,558177703194
20;112,2;1,21463390089851;14,4330551833543;14,4840746145193;85,1895287461768;116,19315370664
21;100;1,32150010398448;16,1215227591542;16,1755945361757;85,3138748858127;114,773127710226
22;89,125;1,44462607278483;18,0066854955372;18,0645417053785;85,4131437946119;113,348100713824
23;79,433;1,58457661172949;20,1217903478795;20,1840860541778;85,4972907371801;111,848070717611
24;70,795;1,74067269906236;22,4779698410144;22,5452671223655;85,5719064540235;110,338042721423
25;63,096;1,91875810593881;25,1097052164278;25,1829094571101;85,6302352323629;109,013020724769
26;56,234;2,12322072398507;28,0504192947199;28,1306610098724;85,6713641566008;107,442990728733
27;50,119;2,34999120748593;31,3235852682375;31,4116133417532;85,7095328404676;98,2978207518219
28;44,668;2,60880350773274;34,981326686866;35,07847021344;85,7349461754573;96,6577897559625
29;39,811;2,90752257425258;39,0622498559071;39,1703082873381;85,7431499172156;95,0727617599644
30;35,481;3,24573683290317;43,6503921259273;43,7708983268071;85,7474513908538;93,5227337638778
31;31,623;3,62299696081873;48,7471186849731;48,88156796856;85,7494619636214;91,9327017678922
32;28,184;4,04657033305125;54,3845368959688;54,5348749411725;85,7446553643866;90,307674771995
33;25,119;4,53743386043927;60,7310999752871;60,9003678991037;85,727169669512;88,6076397762872
34;22,387;5,09320814316513;67,8027624620836;67,9937891772428;85,7041234503456;86,7526087809707
35;19,953;5,72760726467898;75,6796843478343;75,8961139187392;85,6719784097065;84,9725727854649
36;17,783;6,43922942088306;84,4802173689523;84,7252666106174;85,6412438788125;83,1225407901358
37;15,849;7,24969658003251;94,2586399781144;94,5370261380499;85,601879610231;81,2825057947814
38;14,125;8,14929967656616;105,251209651337;105,566226693428;85,5725852069265;79,4374737994397
39;12,589;9,18222660941723;117,41338903932;117,771886336279;85,5283275407797;76,4974168068626
40;11,22;10,3613463165468;130,994994718003;131,404132882726;85,4774761788102;74,3323778123288
41;10;11,6362888068282;146,109449089451;146,572078959189;85,4465230901402;72,0723348180348
42;8,9125;13,138329777694;162,955413704825;163,484196682915;85,3904810671838;69,6472918241575
43;7,9433;14,760079382369;181,740309993028;182,338696440815;85,3569012192534;67,2422468302296
44;7,0795;16,6600081521232;202,873309351176;203,556222009367;85,3053900634213;64,7772018364533
45;6,3096;18,8404485980767;226,301858392887;227,084771870443;85,2408941605014;62,3571558425633
46;5,6234;21,3953372028548;252,34851305563;253,253889398388;85,1537746276305;59,9171088487238
47;5,0119;23,8864453150715;281,207096232965;282,219760544094;85,1448056369894;57,4170648550358
48;4,4668;26,6980761696261;313,968180388795;315,101262402756;85,1395838135563;54,9270168613226
49;3,9811;30,1677496213969;349,944347786099;351,242280576609;85,0728683667677;52,4119718676725
50;3,5481;33,8457742720107;390,27365419922;391,738511762737;85,0435284235187;49,7669238743506
51;3,1623;38,0191409841161;434,972254984168;436,630642176178;85,0047060709477;47,1368718809908
52;2,8184;42,8297332060755;484,743049267498;486,631492876957;84,9507127244611;44,4818258876942
53;2,5119;48,130550741342;540,276681460269;542,41629994349;84,9092438081612;41,846776894347
54;2,2387;53,3402498691525;605,375631730071;607,721019669952;84,9646157470642;39,0917279013029
55;1,9953;62,3771897049216;671,425856682322;674,317132228652;84,6923096977021;36,3016739083471
56;1,7783;68,1643745105164;747,99937424275;751,098825601502;84,7930793484005;33,401617915669
57;1,5849;76,3244926676759;833,18868978589;836,677250179605;84,766011197374;30,4665649230793
58;1,4125;85,2393270951717;927,595026394866;931,503234495796;84,7496742753768;27,456509930679
59;1,2589;96,1478938772854;1034,68867364766;1039,14631735468;84,6910659838801;24,3264519385816
60;1,122;107,845453303705;1152,16952845747;1157,20580023788;84,6525769701166;21,1763939465347
61;1;119,54280270727;1278,36263086158;1283,9398341287;84,6576681243223;16,0262999595375
