Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,500946978092123;1,78778448493422;1,85664246408164;74,3468378394625;138,918571649264
2;891,25;0,510712181598267;1,99799067173498;2,06223026279144;75,661480671426;137,658548652446
3;794,33;0,521997319204039;2,23401333716837;2,2941876104413;76,8482831628188;136,348522655753
4;707,95;0,536609017468607;2,50767117877094;2,56444223535393;77,9216079277843;135,018500659111
5;630,96;0,550806465965298;2,80368778766437;2,85728069563484;78,885344430783;133,678474662494
6;562,34;0,567337457759278;3,1369786045338;3,18786865417626;79,7485971523076;132,348449665852
7;501,19;0,58524495981854;3,50500219169749;3,55352670269934;80,5205341477893;131,093426669021
8;446,68;0,605651425590822;3,91970198280716;3,96621699902345;81,2164244376563;129,843401672177
9;398,11;0,629226332457518;4,38441841605132;4,42933975039936;81,8330069781475;128,573380675383
10;354,81;0,655553572279361;4,9023869172728;4,94602345048785;82,3835169302598;127,28335467864
11;316,23;0,684322430159118;5,48114144836041;5,52369520930992;82,8834261875424;125,973329681948
12;281,84;0,717205299740289;6,12960595869973;6,1714222551129;83,3263517674628;124,653307685281
13;251,19;0,752490166086946;6,85104251264736;6,89224382622663;83,7319936072629;123,368281688525
14;223,87;0,796672421702136;7,66562576802642;7,7069128295921;84,0666705061465;122,083257691769
15;199,53;0,844111752665202;8,56917975362072;8,61065423187174;84,3741973249139;120,778236695064
16;177,83;0,896595200705097;9,57670179504558;9,61858098812692;84,6514140170532;119,438209698448
17;158,49;0,958176695690513;10,7077969983957;10,7505822697664;84,8865628598273;118,018182702033
18;141,25;1,02678738976246;11,9736726454582;12,0176174412556;85,0986626270755;116,638156705517
19;125,89;1,10447705440937;13,3863810958478;13,4318676440392;85,2833510337028;115,323132708837
20;112,2;1,19344890610392;14,9561867199735;15,003727586643;85,4376737878189;113,993107712195
21;100;1,29063888021902;16,7105910526842;16,7603580525352;85,583540659622;112,638082715616
22;89,125;1,40380160340498;18,6809938501841;18,7336646220738;85,7025294683146;111,263059719088
23;79,433;1,53179524112117;20,8725760343798;20,928708201217;85,8027055462756;109,873033722597
24;70,795;1,67471486656488;23,3298277404552;23,3898596037601;85,8941066380005;108,418006726271
25;63,096;1,83711401849438;26,0800353765553;26,1446597445697;85,970661201589;107,002981729843
26;56,234;2,02208779284107;29,151642101557;29,2216884566793;86,0320650950907;105,462951733732
27;50,119;2,22982960374006;32,5757077469178;32,6519352454693;86,0841727215675;96,4077827565937
28;44,668;2,46187783779745;36,3955854432044;36,4787538471619;86,1302815846306;94,7527527607723
29;39,811;2,7298775126351;40,669516945708;40,761033350876;86,1598710908803;93,2677267645216
30;35,481;3,03713777375332;45,4473695993542;45,5487388338806;86,1767463460702;91,782696768271
31;31,623;3,36566502045762;50,7758431276303;50,8872670355921;86,2077100357396;90,2576717721213
32;28,184;3,75517833615422;56,7364032068246;56,8605382772947;86,2133214729277;88,69764077606
33;25,119;4,19886911048057;63,4013278171353;63,5402145950327;86,2110150371418;87,0726117801628
34;22,387;4,70044128699455;70,8445301144274;71,0002929249345;86,2040640413938;85,2925787846569
35;19,953;5,25797448570261;79,1206834239892;79,2952006187728;86,1979924531243;83,5825477889744
36;17,783;5,91436260226044;88,373644411915;88,5713312061787;86,1712176110695;81,7725137935442
37;15,849;6,63740037238581;98,771682166281;98,9944457111619;86,1555364326959;80,0324817979374
38;14,125;7,43642457387557;110,334239409482;110,584559485092;86,1441495487926;77,2924288048554
39;12,589;8,42763241002306;123,192025705691;123,479958639085;86,0864625787515;75,3223938098292
40;11,22;9,49619395091189;137,591947714021;137,91925817409;86,051873650031;73,2523538150556
41;10;10,7144884245963;153,552137913494;153,925499252091;86,0085118741553;71,037312820648
42;8,9125;12,1034289630314;171,54979869813;171,97623796918;85,964272945671;68,7122698265182
43;7,9433;13,6823315942119;191,527516606037;192,015613467055;85,9138490600184;66,2772258326661
44;7,0795;15,5129337158634;213,754720329824;214,316895217698;85,849120504187;63,8621828387635
45;6,3096;17,4966946084888;238,561166375632;239,201932318125;85,8052894915209;61,4671368448104
46;5,6234;19,8471626906423;266,290128969096;267,028730014668;85,7375063031742;59,0070908510214
47;5,0119;22,4877584108457;297,259131480578;298,108521392684;85,6737943856154;56,6020448570936
48;4,4668;25,6163683078265;331,720346292566;332,70795973307;85,5842241563996;54,0869988634435
49;3,9811;28,9831324560888;370,085122302236;371,218291193238;85,5220338508416;51,5569538698312
50;3,5481;32,8000784932976;412,718020322826;414,019334631076;85,4560636397264;49,0169048762442
51;3,1623;37,3557974167995;460,694807437294;462,20683811507;85,3642691510786;46,4318588827708
52;2,8184;42,2727929111049;513,744203427433;515,480451206244;85,296086175913;43,8368108893227
53;2,5119;48,0187731561074;572,90103510209;574,90990476462;85,2088457120604;41,2467638958619
54;2,2387;54,6192901958349;638,919789906971;641,25015773586;85,1138394152159;38,5317129027168
55;1,9953;61,8936276807696;712,287470141719;714,971510808911;85,0338050389703;35,7866619096474
56;1,7783;70,1590091339532;794,594609608715;797,68595335626;84,954134584743;33,001607916679
57;1,5849;79,6308890803778;884,960581180841;888,536048081148;84,8582349711048;30,0715549240766
58;1,4125;90,2876322544393;986,755580083754;990,877606652072;84,7720227838887;27,0964999315879
59;1,2589;102,598384382439;1099,26587280131;1104,0434264935;84,6678289106692;24,0864449391876
60;1,122;116,305128866273;1223,88686220656;1229,4006403457;84,5715229629832;21,0113879469513
61;1;131,099776222943;1358,57798157826;1364,88874394764;84,488149937047;15,9712969596764
