Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,773533313994989;1,71217462058308;1,87880167107358;65,6873028372947;148,9647566239
2;891,25;0,782558856835137;1,91401477605378;2,06781307843899;67,7624446646231;146,994719628874
3;794,33;0,793109348793396;2,14066966610606;2,28286860299276;69,6705383652819;145,069683633734
4;707,95;0,807854725488203;2,40363237605296;2,53575981841807;71,4226342884412;143,289653638228
5;630,96;0,820910494821289;2,68735325839641;2,8099397815472;73,0135686437541;141,794622642003
6;562,34;0,835741026331606;3,00483608910106;3,11889451335853;74,4570499074478;139,979590646586
7;501,19;0,853266594394593;3,36245888343401;3,46903352879358;75,7610324166809;138,129555651256
8;446,68;0,871501343408294;3,75813809706424;3,85786424698538;76,9440434044588;136,409525655599
9;398,11;0,89352134666632;4,20444094775542;4,29833736229614;78,0020883051748;134,779494659714
10;354,81;0,918271532833207;4,70167247381733;4,79050588759302;78,9488231967652;133,089464663981
11;316,23;0,944914254942848;5,25725732630787;5,34149955950686;79,8107221238521;131,349432668375
12;281,84;0,975943420084418;5,88057893802035;5,96101285063995;80,577052940478;129,619399672742
13;251,19;1,01259159124649;6,57547834607419;6,65298859238115;81,2455000147573;128,269372676151
14;223,87;1,05029807751334;7,35666925494591;7,43126561080242;81,8748945088713;126,914348679572
15;199,53;1,094089035126;8,22227196323183;8,29474454423589;82,4205149079818;125,479323683195
16;177,83;1,14424966197676;9,19535235861764;9,26627283691069;82,9067004667183;124,084294686717
17;158,49;1,20070417600926;10,2762472125074;10,346156160181;83,335626244465;122,644268690353
18;141,25;1,26463941508121;11,4912717673319;11,5606504869258;83,719748038706;121,199241694001
19;125,89;1,33931625851037;12,8495407229762;12,9191510878902;84,0495091255955;119,82921669746
20;112,2;1,42234868833227;14,3599585678364;14,4302281985137;84,3433245630998;118,32419070126
21;100;1,51437630155851;16,0498588645704;16,121144660208;84,6098437283117;116,834160705022
22;89,125;1,61996936008553;17,941551161589;18,0145374298518;84,8406690054315;115,374136708708
23;79,433;1,74198090226889;20,0586920607344;20,1341904394301;85,0366470600022;113,879106712483
24;70,795;1,87958926001475;22,4313082568399;22,5099188336994;85,210197265598;112,304077716459
25;63,096;2,0354822678229;25,0606906369676;25,1432178383042;85,3565088584269;110,889053720032
26;56,234;2,21432335736429;28,0143476007696;28,1017241362112;85,4805961550971;109,249020724173
27;50,119;2,41852342106575;31,3200612348288;31,4133011842384;85,5844039538206;100,053852747388
28;44,668;2,64527929897495;35,0016891831976;35,1015063529581;85,6780439270341;98,2888197518446
29;39,811;2,89889466679646;39,1040539312832;39,2113583563473;85,7602564138888;96,6537897559726
30;35,481;3,19714255474552;43,7182657079946;43,8350142811677;85,81737159709;95,0137587601133
31;31,623;3,52826134597644;48,8328300409191;48,9601257957003;85,8674561588475;93,333727764355
32;28,184;3,9003413714314;54,5654152651786;54,7046360546808;85,9114458146115;91,7136977684452
33;25,119;4,32940360577736;60,9546459507205;61,1082040200774;85,9372960322006;90,00866577275
34;22,387;4,80901245962522;68,1020696919785;68,2716522223384;85,9607761979885;88,1436307774587
35;19,953;5,34685790608086;76,0748094983035;76,2624778621243;85,9796227350428;86,3335987820286
36;17,783;5,96519237847451;84,9607167222713;85,1698708821038;85,9837863766802;84,5135647866238
37;15,849;6,64349221876832;94,8817909528459;95,1140906663171;85,9947653233018;82,6935297912189
38;14,125;7,43315558548542;106,005797907897;106,26608580374;85,9889695314429;80,7634967960918
39;12,589;8,33216927199784;118,415194599011;118,707975118351;85,9750724041862;77,8234418035147
40;11,22;9,36033981452846;132,172599656085;132,503630370232;85,9491296451726;75,6084008091071
41;10;10,4655208881593;147,610602263259;147,981137406031;85,9445428792996;73,2983558149394
42;8,9125;11,7653131889696;164,744904258803;165,164481876936;85,9151375335342;70,9033118209863
43;7,9433;13,2377070854452;184,017350017632;184,492877901537;85,8853855398902;68,4482658271847
44;7,0795;14,8747387055842;205,393462335013;205,931377457453;85,8578308903697;65,8832208336609
45;6,3096;16,7543322229198;229,405593954003;230,016595456991;85,8228952442711;63,4231738398719
46;5,6234;18,8479803357505;255,971964312492;256,664942827673;85,7887405281697;60,938127846146
47;5,0119;21,2164659079629;285,620616588875;286,407533152033;85,75175805999;58,4580818524075
48;4,4668;23,9338213295522;318,861134388091;319,758112995895;85,7074094818718;55,9030348588584
49;3,9811;27,0111778938767;355,924434500051;356,947904890049;85,6601304252392;53,3029868654229
50;3,5481;30,4231753564723;397,099154632082;398,26286320505;85,6189254104716;50,7729398718106
51;3,1623;34,3510796744862;442,997777828732;444,327613181982;85,5660244673704;48,0728888786276
52;2,8184;38,7808688549241;494,246206239095;495,765335789908;85,5134974661835;45,2828368856718
53;2,5119;43,7141328862043;551,298618705532;553,029015875858;85,466330319454;42,3477838930821
54;2,2387;49,2227518907129;614,977560706455;616,944308245206;85,4238063107788;39,6027329000127
55;1,9953;55,6217885756808;685,84932053192;688,101063680658;85,3635087561742;36,6826789073851
56;1,7783;62,4930583852956;765,138479583622;767,686313077082;85,3307036464574;33,7376249148207
57;1,5849;70,8634552013833;853,451950202267;856,388848939039;85,2535292727952;30,7725679223067
58;1,4125;79,6787541279008;951,621728756058;954,95163149766;85,2138203466152;27,6975129300705
59;1,2589;89,5492108526748;1060,53268171146;1064,30664291004;85,1735104043382;24,6124559378595
60;1,122;100,699523086551;1181,40403307519;1185,68793673385;85,1280466276253;21,5674009455475
61;1;112,716458601949;1312,34218974137;1317,17387728991;85,0909399629791;16,2573009589543
