Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,668011043499778;1,67052827847045;1,7991396508907;68,2045121274813;139,99758964654
2;891,25;0,679215544318886;1,86721917326525;1,9869175112857;70,0107483600236;138,742568649709
3;794,33;0,691820720987356;2,0870441678397;2,19871991588314;71,6604925474684;137,472545652915
4;707,95;0,708813594128306;2,34208773995826;2,44699646360265;73,1619921256408;136,192520656147
5;630,96;0,724894106152854;2,61684773085702;2,71539380415193;74,5167136354224;134,887495659442
6;562,34;0,742910448729294;2,92290333794674;3,01583816837233;75,7391806955895;133,53747266285
7;501,19;0,763870312783979;3,2677706961867;3,35586399867593;76,8428585184847;132,282449666019
8;446,68;0,787672241473701;3,65228321298586;3,73625483978897;77,8296678406269;131,032427669175
9;398,11;0,814179968432435;4,080273805948;4,16071188049617;78,7153833227726;129,757402672394
10;354,81;0,845614557235402;4,56246302605903;4,64016517416828;79,4998540958498;128,422376675765
11;316,23;0,879229963123557;5,09601339043388;5,17130523209911;80,210965845684;127,077353679161
12;281,84;0,917728972316407;5,69244756033175;5,76595054555238;80,8416528498114;125,692327682657
13;251,19;0,962439991044954;6,3581966977452;6,43062640678034;81,3924840637493;124,327303686104
14;223,87;1,01156986633635;7,10705426723241;7,17868330210117;81,8993184110886;122,96227568955
15;199,53;1,06731902995253;7,9352639826495;8,00672120071838;82,3395046533409;121,627251692921
16;177,83;1,13078396326345;8,86486832767696;8,9366975353664;82,7307273724531;120,292225696291
17;158,49;1,20286311341703;9,90277657381573;9,97556331945885;83,0743667468085;118,937200699712
18;141,25;1,28337810586534;11,0573726106421;11,131601340921;83,3795661139462;117,60717770307
19;125,89;1,37309652661617;12,3419820595683;12,4181284914479;83,6517137041728;116,272150706441
20;112,2;1,47975351040022;13,7769321274067;13,8561729671188;83,869474477715;114,927127709837
21;100;1,59438945862792;15,3832276322096;15,4656319020647;84,0827260417817;113,522100713384
22;89,125;1,72526994686508;17,1788280980341;17,2652451824861;84,2650138540878;112,132076716894
23;79,433;1,87727662407733;19,1809645029516;19,2726118309584;84,4101584486212;110,717048720466
24;70,795;2,04570989677568;21,4067484322696;21,5042741664127;84,5411756465573;109,272023724115
25;63,096;2,23267300505817;23,8905412552433;23,994640864493;84,6609720829476;107,891996727599
26;56,234;2,44669616444442;26,6766388500779;26,788605459385;84,7596749964547;106,351968731487
27;50,119;2,68938929656474;29,7736876980488;29,8949041465167;84,8386099419964;97,3217997542861
28;44,668;2,96055467747425;33,2283902838516;33,3600180583626;84,908553752276;95,6617707584772
29;39,811;3,26621635100057;37,0725755389175;37,2161796311805;84,9650531356725;94,1067427624033
30;35,481;3,6078286765573;41,376171652561;41,533167569806;85,0166524088988;92,6717157660264
31;31,623;4,00428503881253;46,1828804811495;46,356151136696;85,044564551664;91,0666867700787
32;28,184;4,42649377613574;51,5244133767256;51,714205214485;85,0897412272629;89,461655774131
33;25,119;4,92898764675955;57,4823010072634;57,6932391906672;85,0989946044731;87,8016257783222
34;22,387;5,47601262080244;64,1097410589533;64,3431862194376;85,1178605521325;86,0315927827911
35;19,953;6,10272496332092;71,555638667415;71,8154069617348;85,1252439696899;84,2565597872726
36;17,783;6,79863484147876;79,8193418703447;80,1083564450222;85,1315664287085;82,4615247918047
37;15,849;7,58357730216412;89,0376209855752;89,3599943793017;85,1317114830224;80,6014917965008
38;14,125;8,44371138731095;99,3131548077728;99,6714551908662;85,1403381194165;78,6914568013232
39;12,589;9,46492291881301;110,757516513475;111,161199301248;85,1155839366552;76,8264228060319
40;11,22;10,5834403347911;123,541366871024;123,993864919524;85,1035869132386;73,901366813417
41;10;11,8302175694343;137,755043895917;138,262092297586;85,0915588291235;71,7113278189463
42;8,9125;13,2597814514351;153,621395552533;154,192590534201;85,0667601823279;69,4312838247029
43;7,9433;14,8397600413084;171,239789856846;171,881599097462;85,0470818436688;67,0562408306993
44;7,0795;16,5925204072276;190,907956550023;191,627658774952;85,0326933173487;64,6511948367714
45;6,3096;18,5797136517274;212,812516853528;213,622033247774;85,0104121497395;62,2361518428688
46;5,6234;20,794817487018;237,191172128283;238,100979775193;84,9896251634406;59,7461058491556
47;5,0119;23,3142108198787;264,555245045566;265,580552953851;84,9637594182878;57,291060855354
48;4,4668;26,0715347327536;294,822766269518;295,973290068769;84,9464105371126;54,831014861565
49;3,9811;29,2091456700756;328,644928969644;329,940393902047;84,9210385234128;52,330969867877
50;3,5481;32,6031991468299;365,981906548493;367,431251413755;84,9092905195839;49,8209228742143
51;3,1623;36,4594547617188;408,102745173814;409,728132375511;84,8948109300607;47,2458728807156
52;2,8184;40,7713117731052;454,950912593707;456,774159441563;84,8790071669894;44,6408268872927
53;2,5119;45,5400373908008;506,786262123881;508,828272094869;84,8651673912276;41,8207738944127
54;2,2387;50,8555811205194;564,659544141378;566,945051059672;84,8535895479725;38,9857219015705
55;1,9953;56,8831986026868;629,551984141669;632,1166023923;84,8370568861428;35,8156629095741
56;1,7783;63,3102645421712;701,621551967903;704,472136980767;84,8439244540969;32,9506099168077
57;1,5849;70,6265167605963;781,237148724826;784,423092098537;84,834307240637;30,0805559240539
58;1,4125;78,4893261201642;870,469809826544;874,001295270354;84,8476347221607;27,1355019314894
59;1,2589;87,307690005324;969,894065785691;973,815758539758;84,8562261190988;24,1554459390134
60;1,122;96,601290137312;1080,62649950569;1084,93568504779;84,891691931051;20,9303869471559
61;1;107,560367719168;1199,47905461888;1204,29200577488;84,8758456885011;15,8502959599819
