Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,57065459682393;1,7176899838737;1,81000153303148;71,6223716512503;140,433599645439
2;891,25;0,579849764983422;1,92135971933218;2,0069501540954;73,2066394695867;139,123573648747
3;794,33;0,590088593248122;2,14848873070126;2,22805035262488;74,6422411842;137,813548652054
4;707,95;0,604013332055573;2,41262154222276;2,4870815851713;75,9445818423086;136,493526655387
5;630,96;0,616919633395362;2,69746701428039;2,76711368165449;77,1178175993874;135,178501658707
6;562,34;0,632229619795911;3,01796604673857;3,08347747704019;78,1682847201353;133,863475662027
7;501,19;0,648898021892802;3,37421170189653;3,43604034493658;79,1142902645822;132,573451665284
8;446,68;0,668287980231973;3,77471452983524;3,833416049201;79,9601994476895;131,273429668566
9;398,11;0,689847728069214;4,22132977709235;4,27732568024564;80,7187914808838;129,93340567195
10;354,81;0,715087619102894;4,72334661004792;4,77717003064005;81,3911224223688;128,583379675358
11;316,23;0,742004693677331;5,28154124540975;5,33340874979629;82,0028459625264;127,238352678754
12;281,84;0,773055892871119;5,90537543636331;5,95575977167531;82,5419815027324;125,843330682276
13;251,19;0,810032838643296;6,60547966413165;6,65496166727783;83,0086998210327;124,523304685609
14;223,87;0,847645768251408;7,38746864963452;7,43593951009336;83,4544481995679;123,193280688967
15;199,53;0,892461587200677;8,25999335681206;8,30806703988408;83,8333262730923;121,863253692325
16;177,83;0,943556615803846;9,23747001194392;9,28553451928269;84,1677794719204;120,498230695771
17;158,49;0,999573063271375;10,3226676173634;10,3709504408893;84,46913172151;119,093201699319
18;141,25;1,06434258884497;11,5464651657539;11,5954164638618;84,7334105540272;117,673175702904
19;125,89;1,13977034980115;12,8999403896047;12,9501945354362;84,9507604599431;116,3281527063
20;112,2;1,22360070952267;14,4251298806436;14,476932367383;85,1515351790504;114,948127709784
21;100;1,31587718424897;16,1217754116533;16,175387945512;85,3337986904359;113,528100713369
22;89,125;1,42041621476465;18,0156812014392;18,0715896194844;85,4919358936046;112,118072716929
23;79,433;1,54272482136019;20,1363382898909;20,1953489595839;85,6189013927094;110,658048720615
24;70,795;1,68021176268611;22,5176850588438;22,5802845858228;85,7326443957695;109,223020724238
25;63,096;1,83438748950042;25,1584640232459;25,2252510288916;85,829753414776;107,807993727811
26;56,234;2,01143724153095;28,1240845818606;28,1959219275459;85,9091658764758;106,197965731876
27;50,119;2,20703969499442;31,4328015339263;31,5101894073406;85,9835949542016;97,0927977548643
28;44,668;2,43419071217575;35,130100141061;35,2143325983074;86,0362683767047;95,4377667590428
29;39,811;2,69110022893276;39,2657765049608;39,357886439438;86,0793351597343;93,8627357630194
30;35,481;2,98253264783806;43,8984197760023;43,9996222691232;86,1132013826176;92,4427107666046
31;31,623;3,30537895819992;49,0423591506019;49,1536216479919;86,1441846647083;90,8876817705307
32;28,184;3,67928468604533;54,8054808768114;54,9288436974556;86,1592957913555;89,2626507746335
33;25,119;4,10093180702056;61,2253963999341;61,3625847403358;86,1680012841405;87,6226227787741
34;22,387;4,58059877702482;68,4159923954891;68,5691614402255;86,1696400337871;85,7375867835334
35;19,953;5,11804788892421;76,390209094745;76,5614685055883;86,1669832730106;83,9725527879897
36;17,783;5,71644213058931;85,365929695947;85,5571134592895;86,1689662628092;82,1375177926227
37;15,849;6,41885679772873;95,3260815488446;95,5419465263646;86,1477586865378;80,2974857972683
38;14,125;7,22039276292173;106,524875269285;106,769298596495;86,1223496376922;78,457452801914
39;12,589;8,09748694618556;118,927679521985;119,203029539218;86,1048860072905;75,6273978090592
40;11,22;9,08029265947024;132,813651831258;133,123693712037;86,0888501426039;73,4623608145254
41;10;10,2286604072025;148,367064806757;148,71923686295;86,0561785764459;71,2873188200168
42;8,9125;11,5369299917716;165,627410029217;166,028731569633;86,0154456043474;68,9472748259249
43;7,9433;12,9930570863341;184,918478199266;185,374386342831;85,9807919233762;66,5122288320728
44;7,0795;14,6274423419841;206,430820979213;206,948413667803;85,9468637410664;64,0471828382964
45;6,3096;16,5267029595068;230,458717691387;231,050540944336;85,8982149945082;61,6021418444695
46;5,6234;18,6129292465706;257,251860637643;257,924331804247;85,8616929438198;59,1370928506932
47;5,0119;20,9839558870009;287,202232437169;287,967791118314;85,8212039427902;56,7020468568411
48;4,4668;23,7071047186678;320,404575131792;321,280436036068;85,7683301924907;54,1920008631784
49;3,9811;26,7637490670567;357,607109836668;358,607227018445;85,7198938433134;51,646953869604
50;3,5481;30,2356237615827;399,330477888646;400,473499141986;85,6700663446657;49,106905876017
51;3,1623;34,1222593333101;445,21510597053;446,520793655077;85,6172941353313;46,4768578826572
52;2,8184;38,4503570831463;496,788295139498;498,274061282976;85,5742518734341;43,9268128890955
53;2,5119;43,3250045360973;554,332149975917;556,022651080848;85,5310117496169;41,2467608958619
54;2,2387;48,8789396665025;618,409809918994;620,338491266637;85,480752866426;38,5167109027547
55;1,9953;55,1891034317419;689,863889404014;692,067932389035;85,4260793772444;35,7166609098241
56;1,7783;61,9871887063312;769,469923894867;771,962677428441;85,3942953625072;32,9616099167799
57;1,5849;69,9101731712332;858,003062734726;860,846495012323;85,3418246660045;30,1065559239883
58;1,4125;78,9961753643866;956,763528886324;960,019190396324;85,2800205779103;27,1164999315374
59;1,2589;88,7670605530097;1067,35518524257;1071,04000042175;85,2459118427518;24,0764459392128
60;1,122;100,057027025866;1189,19217502393;1193,39408319105;85,1905382067861;20,9563879470902
61;1;111,677697546192;1321,29976042265;1326,01092190908;85,1687808053228;15,8512939599793
