Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,654405782974378;1,67299395552519;1,7964285969707;68,6366256136916;141,509618642723
2;891,25;0,664631815827435;1,87047117065303;1,9850435387805;70,4384215340561;140,209594646005
3;794,33;0,67600857655359;2,09090083809347;2,19746533768203;72,0834753841359;138,874571649375
4;707,95;0,691693383503927;2,34729927457194;2,44709084857696;73,5810059465861;137,514547652809
5;630,96;0,706067562560638;2,62256405862226;2,71594801947268;74,9316621007373;136,099518656382
6;562,34;0,722899390466946;2,93263974206789;3,02042370959664;76,1525824088869;134,724493659853
7;501,19;0,742185443344485;3,27871200292597;3,36166500865915;77,2452014120776;133,394470663211
8;446,68;0,763198754782908;3,66438540718572;3,7430192026889;78,2349310528532;132,069445666557
9;398,11;0,787623454484439;4,0969230624696;4,17194550370079;79,1177955429213;130,759421669864
10;354,81;0,814982429391739;4,58111985596356;4,65304797900482;79,9125992480056;129,404397673285
11;316,23;0,846304666383934;5,12017207247496;5,18964292028804;80,6145336659587;128,059371676681
12;281,84;0,880976846874224;5,72445722634352;5,79185037280531;81,2509913287265;126,664343680203
13;251,19;0,920398727745786;6,39855171031327;6,46441008968251;81,8144455623091;125,344319683536
14;223,87;0,96463126435154;7,14887758118568;7,21366509805824;82,3152297588751;123,949293687058
15;199,53;1,01577576339549;7,99149118216999;8,0557887085128;82,756140567358;122,57427069053
16;177,83;1,07225896082564;8,92864744735591;8,99280181691146;83,1520313255599;121,174244694064
17;158,49;1,13698034435845;9,97454563415323;10,0391376577504;83,4970262479849;119,769218697612
18;141,25;1,21052875144054;11,1473770104787;11,2129119354347;83,8023566914818;118,354190701184
19;125,89;1,29490826497109;12,4520867139893;12,5192352381206;84,0630789529044;116,984166704643
20;112,2;1,38735622835778;13,9065366098103;13,9755686032575;84,3028582905638;115,544137708279
21;100;1,49335433887993;15,5332180865396;15,6048380736697;84,5084953021254;114,124111711864
22;89,125;1,61633327628145;17,3576691606562;17,4327626023763;84,6800010364879;112,699084715462
23;79,433;1,75105324018096;19,3921846983452;19,4710815011565;84,8403641588406;111,234058719161
24;70,795;1,90503364603677;21,6533297216232;21,7369694581803;84,9721325941272;109,704029723024
25;63,096;2,08135133197634;24,1892135136152;24,2785929117481;85,0821201839202;108,26400372666
26;56,234;2,27793124526221;27,0212302964765;27,1170768611471;85,1812713363652;106,653973730725
27;50,119;2,50427306565468;30,1867247741041;30,2904231758963;85,2576350868296;97,5338037537508
28;44,668;2,75615854919145;33,6901294459337;33,8026808409044;85,3231000780186;95,8837737579167
29;39,811;3,04072121010537;37,6067706704269;37,7295002052196;85,3773666939605;94,3387477618176
30;35,481;3,36760030338235;42,0231389883825;42,1578574199431;85,4182900393009;92,7937187657184
31;31,623;3,7307211405519;46,9220366664034;47,0701158395841;85,4540368839255;91,2036887697328
32;28,184;4,15556550271305;52,3442825539645;52,5089767633746;85,4608598059445;89,5736577738483
33;25,119;4,61878940530621;58,4815565341058;58,663665673246;85,4842351940331;87,8936257780899
34;22,387;5,15404701381032;65,2420022696536;65,4452676728735;85,4830767758901;86,0935937826346
35;19,953;5,7263650815305;72,8316607245164;73,0564306610858;85,5043869032242;84,3135627871287
36;17,783;6,40382371546275;81,2722577285928;81,5241610473946;85,4947043360958;82,4535277918249
37;15,849;7,17206554142045;90,6907284474476;90,9738794954855;85,4783070608059;80,63349279642
38;14,125;8,02702481895457;101,226812397515;101,544574821139;85,4660799780126;78,7834578010909
39;12,589;8,97440927407895;113,021442263914;113,37718656429;85,4599839267601;75,9934078081351
40;11,22;10,0964256182758;125,986834696901;126,390744626375;85,4181804202507;73,7883648137023
41;10;11,3206263563456;140,656497993937;141,111328421989;85,398513351166;71,4983248194841
42;8,9125;12,676652977056;156,813916907232;157,32546541005;85,3783263689771;69,1782818253416
43;7,9433;14,4598175733504;175,105924238776;175,701938030776;85,2793657519416;66,7082368315779
44;7,0795;15,9704946040156;195,272606747272;195,924596831974;85,3244344060331;64,3631908374986
45;6,3096;17,9290900799814;217,762506267938;218,499339603555;85,2932696302862;62,0031458434571
46;5,6234;20,173617377251;242,916546817156;243,752791893048;85,252621514149;59,568102849605
47;5,0119;22,6583746441785;270,822510112861;271,768714029681;85,2174848222782;57,1580588556898
48;4,4668;25,3450711131289;301,956550886368;303,018367847431;85,2020592285989;54,688010861926
49;3,9811;28,5168458256694;336,687181487159;337,892688103208;85,1586973053483;52,1279648683895
50;3,5481;32,1263652916034;375,192775736712;376,565694549926;85,1059126148423;49,5379178749288
51;3,1623;36,0691112485285;418,387282936916;419,939161438409;85,0727212181251;46,9578698814428
52;2,8184;40,2561670054457;466,607335278288;468,340649866606;85,0690632387682;44,2828208881966
53;2,5119;45,3351116243016;520,180294269154;522,152095554476;85,0191042307617;41,6077708949505
54;2,2387;51,0367928095293;579,775393125076;582,017405833898;84,9693026461934;38,8527199019063
55;1,9953;56,6561984842461;646,797306792451;649,273964440786;84,9939547251718;36,0626669089505
56;1,7783;63,179127991108;721,317425792327;724,079022597248;84,9943219801775;33,1726149162472
57;1,5849;71,6421402112089;802,782391444852;805,97280615909;84,9003030210131;30,2625589235944
58;1,4125;84,5819754430908;888,422886532914;892,440102127493;84,5615679491553;27,2275029312572
59;1,2589;89,148517627844;997,308174483976;1001,28470131517;84,8919559485784;24,1174449391093
60;1,122;99,8756391852484;1111,09282020349;1115,57267733232;84,8635126904492;21,0073889469614
61;1;110,555553436107;1233,78502009;1238,72838273532;84,8795827166636;15,8622939599516
