Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;33,5370117762411;1,98503789559337;33,5957070818084;3,38735466931637;139,650584647416
2;891,25;33,5825771788353;2,19458023388971;33,6542073502766;3,7388927059631;138,400560650572
3;794,33;33,6066036434941;2,42504772647912;33,6939855898143;4,12730151751166;137,145539653741
4;707,95;33,646875219991;2,68659787851246;33,753963029998;4,5652035958585;135,880516656935
5;630,96;33,6853527621573;2,97835106411583;33,8167645668846;5,05277002908541;134,550489660293
6;562,34;33,7304569789154;3,30876620343386;33,892354031484;5,60246644425722;133,250464663575
7;501,19;33,787398022409;3,67188580583476;33,9863356438404;6,20234601876763;131,930443666908
8;446,68;33,8415025039722;4,08435442349602;34,0870832249269;6,88178229702088;130,600418670266
9;398,11;33,8770577511381;4,53465469367857;34,1792061795596;7,62407690916454;129,250392673674
10;354,81;33,9388112110214;5,04061666316413;34,3110874610864;8,44785620959217;127,920366677032
11;316,23;33,9853071004893;5,61019241933403;34,4452515986823;9,37367969274423;126,605342680352
12;281,84;34,0606939865862;6,24642783192935;34,6287270269551;10,392059444339;125,285317683685
13;251,19;34,1483409016713;6,95962513731874;34,8503309652685;11,519439965675;123,970293687005
14;223,87;34,2033582555063;7,73965735716319;35,068105337483;12,7503625997063;122,620271690414
15;199,53;34,282663673814;8,61504445732279;35,3485504592974;14,1060280786731;121,265243693835
16;177,83;34,3889087052444;9,59473006148876;35,7023232702085;15,5894493936433;119,900217697281
17;158,49;34,488254647762;10,6889700018674;36,1067000479094;17,2198153056039;118,500193700816
18;141,25;34,6090101790314;11,9046672659301;36,5992443676752;18,9819850593059;117,095165704363
19;125,89;34,7348206777849;13,2524228722336;37,1770692699462;20,8834206838426;115,760143707734
20;112,2;34,8692747087455;14,7710652993791;37,8688617308796;22,9581294606073;114,495119710928
21;100;35,0190060460771;16,4573887491434;38,6933641454916;25,1714552438061;113,160093714298
22;89,125;35,1801718753394;18,3326632052185;39,6702789676906;27,5243729762074;111,735066717896
23;79,433;35,3602316633968;20,4320347855991;40,838878887269;30,0204067017101;110,250039721645
24;70,795;35,554605738738;22,7720499918511;42,2219877560078;32,6387905622965;108,860016725155
25;63,096;35,7491846836914;25,3680722262228;43,8354114161545;35,3599922486012;107,484991728626
26;56,234;35,9896551947936;28,2908644150946;45,7780328366499;38,1702943974244;105,929961732553
27;50,119;36,2638768077716;31,5495654711983;48,0670764926542;41,0232624137104;96,879791755402
28;44,668;36,5492257051285;35,1755995837545;50,7264103374274;43,9028434837601;95,2397617595427
29;39,811;36,8551511301232;39,2383549702288;53,8326171163348;46,7938837132189;93,6497317635572
30;35,481;37,1925220729429;43,7932645437152;57,4554933626208;49,6595898729159;92,1247067674075
31;31,623;37,5433829242204;48,8427849859737;61,6045716370198;52,4520419040011;90,5696767713335
32;28,184;37,9599821874464;54,5290702751524;66,4407988569053;55,1565982638686;88,9296457754742
33;25,119;38,3901830590057;60,8594835057836;71,9561177933795;57,756256960659;87,2446147797285
34;22,387;38,8648593907356;67,8907830661221;78,2281005828015;60,2105241699899;85,4195787843363
35;19,953;39,4291253082088;75,8280357920714;85,4666422334122;62,5264327684673;83,6195477888809
36;17,783;40,0211179791886;84,6277323346037;93,6137968699137;64,6901659745371;81,7295127936528
37;15,849;40,6951175052536;94,4531181096805;102,846896450052;66,6912104787655;80,0444817979071
38;14,125;41,4747739876138;105,555407024288;113,411202398117;68,5491703961432;77,3394318047367
39;12,589;42,2918113004735;117,77735686465;125,140333598317;70,2476647014275;75,3843968096727
40;11,22;43,2518063719134;131,5304188271;138,45927138067;71,7973248924753;73,2893568149622
41;10;44,3214707843458;146,8615415629;153,403732557976;73,2066658390212;70,9743148208071
42;8,9125;45,5326627228115;163,946834354107;170,152249086994;74,4785250104912;68,6242698267404
43;7,9433;46,879761131763;183,01715855074;188,925891099547;75,6326226649183;66,2742268326737
44;7,0795;48,4348617980154;204,396871441714;210,057175294141;76,6688129428301;63,9591828385186
45;6,3096;50,1375392418244;228,181077036381;233,624435277452;77,6075029876969;61,5591378445781
46;5,6234;52,0966212349811;254,833184882342;260,1038447647;78,4459871306822;59,1140938507513
47;5,0119;54,2869457926568;284,494395348993;289,627577189197;79,196747559388;56,6740498569118
48;4,4668;56,7285626367927;317,592683119466;322,619345653447;79,8726038795952;54,1790008632112
49;3,9811;59,4961440003692;354,430238711325;359,389183565504;80,4709323037309;51,6689558695484
50;3,5481;62,6281018411893;395,841341027139;400,765076330753;81,009461839016;49,1489098759109
51;3,1623;66,1048630690661;441,977060789531;446,893248086758;81,4935396548315;46,6088618823239
52;2,8184;70,0975223519812;493,421886600137;498,376184037645;81,9144334106226;44,0588138887622
53;2,5119;74,4201073980499;550,71684297289;555,722406889595;82,3040594008859;41,3987658954782
54;2,2387;79,4465327266841;614,384428405014;619,499780007102;82,631924123327;38,7137169022573
55;1,9953;85,0721797886962;686,13851978525;691,392322858081;82,9321447713078;35,9136639093267
56;1,7783;91,440127714049;765,912642977702;771,351718497762;83,1918443427765;33,0536129165477
57;1,5849;98,403794471494;854,932709431223;860,577273939882;83,4340801084259;30,1785569238065
58;1,4125;106,179014721545;953,213452866856;959,108893657853;83,6439907138968;27,2035039313178
59;1,2589;115,199348043774;1064,10345925596;1070,32100875869;83,8212490263389;24,1584479390058
60;1,122;125,013551830484;1187,09772431776;1193,66217801423;83,9883257461424;21,0783919467822
61;1;135,440051563027;1319,04940126944;1325,98466452544;84,137412646344;15,9982959596082
