Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,965089203107191;1,77367951650537;2,01924149056639;61,4486360932366;139,758589647143
2;891,25;0,980405725358846;1,98223915882316;2,21144013463814;63,6832275578688;138,473564650388
3;794,33;1,0001454525445;2,22115443407831;2,43594292754801;65,7588283423592;137,168539653683
4;707,95;1,01830171772907;2,47914323608524;2,68012864865796;67,6697186187182;135,843514657028
5;630,96;1,03945827620827;2,76882245368136;2,95750761418934;69,4230969653447;134,503490660411
6;562,34;1,06326192441495;3,09221151262578;3,26990794346355;71,0243854747886;133,118466663908
7;501,19;1,09008723417629;3,45215983240916;3,62017923404537;72,4754654738904;131,81844266719
8;446,68;1,12048467174757;3,85506582768674;4,0146006570292;73,7933596497657;130,473417670586
9;398,11;1,15495535565282;4,30366296447148;4,45594398363743;74,9777388777815;129,163392673894
10;354,81;1,19468118118582;4,80591189841659;4,95217652149252;76,0400462913865;127,81836867729
11;316,23;1,23788139851644;5,36234369948085;5,50336990471793;77,0011482381404;126,453341680736
12;281,84;1,28824187250691;5,98740493021441;6,12442527266322;77,8574325730976;125,09331768417
13;251,19;1,3449609180622;6,68244569322223;6,81645071235603;78,6202406823985;123,753292687553
14;223,87;1,40813571047029;7,45986287436447;7,59160064040668;79,3105308628075;122,393266690987
15;199,53;1,47927654867656;8,32038386608499;8,45086071276008;79,9187532173111;121,078241694307
16;177,83;1,55921116395829;9,27696850017352;9,40708690334175;80,4592770629851;119,723216697728
17;158,49;1,64995588706573;10,3496296555566;10,48032387078;80,9420312807148;118,363192701162
18;141,25;1,75287106551345;11,5399694952662;11,672337080636;81,3630418047886;116,988166704633
19;125,89;1,86791789659257;12,8766958562946;13,011472378018;81,746139530075;115,668143707966
20;112,2;1,9989056336511;14,3599720683867;14,4984282436783;82,0753597313549;114,298118711425
21;100;2,14460708087996;16,0100902963969;16,1530904420839;82,370449134247;112,888091714985
22;89,125;2,30948891909169;17,854484886906;18,003232199918;82,6296785703606;111,478065718545
23;79,433;2,49614192393395;19,922814118405;20,0785768146285;82,8585885718454;110,038036722181
24;70,795;2,70301843836791;22,2087443913626;22,3726314080181;83,0606811879885;108,598011725816
25;63,096;2,93538703116897;24,7693551537844;24,9426833311306;83,2414669066879;107,267985729174
26;56,234;3,19217974060866;27,6122674683851;27,7961746692236;83,4054643048139;105,692958733151
27;50,119;3,49087226774745;30,7901893750195;30,9874482805424;83,5316473914717;96,5677887561898
28;44,668;3,8255057868568;34,3270068309826;34,5395120477925;83,6410230867803;94,9227597603431
29;39,811;4,19184426014803;38,2552540135187;38,4842307697604;83,7467255004439;93,4027327641808
30;35,481;4,60273898329863;42,6471781888212;42,8948366778269;83,8401390853312;92,0027027677155
31;31,623;5,0658238763783;47,5305341171246;47,799730595534;83,9163583604991;90,4076757717426
32;28,184;5,59487677892655;52,9799783058399;53,2745788107108;83,9717022287464;88,8126447757696
33;25,119;6,1642760479608;59,0412893891803;59,3622114811468;84,0395609469003;87,1376127799987
34;22,387;6,82301563394834;65,8331074166827;66,1857354305109;84,0829281019777;85,3375797845433
35;19,953;7,55400387710301;73,3466377945507;73,7346068704533;84,1198133468667;83,5825497889743
36;17,783;8,35596585310801;81,7981445817185;82,2238324474725;84,1672689070491;81,7475157936074
37;15,849;9,28791808654727;91,1077991673483;91,5800004995648;84,1791327108675;80,0074827980005
38;14,125;10,28437156015;101,539281972225;102,058777583421;84,2165393931317;78,1724508026335
39;12,589;11,4355011342125;113,123718839009;113,700248241407;84,2276675410687;75,3523948097535
40;11,22;12,7362650894068;126,157474768286;126,798741667014;84,2352195532032;73,2473588150682
41;10;13,9617885115637;140,338188582287;141,030984939478;84,3185249555938;71,037314820648
42;8,9125;15,76850700359;156,50778890268;157,300139225393;84,2467378037396;68,7422748264424
43;7,9433;17,3969828092582;174,072200690727;174,939378254807;84,2927431087039;66,3272278325398
44;7,0795;19,5147667553459;194,514507251324;195,490970770368;84,2709418788495;63,882184838713
45;6,3096;22,095236874187;216,778226427581;217,901351408416;84,1801950696364;61,4721388447978
46;5,6234;24,0425235702837;241,262860582994;242,457853731977;84,3091027369163;59,0170948509962
47;5,0119;26,4788046082671;268,679555684884;269,981167373781;84,3715831902698;56,6120478570683
48;4,4668;30,0433306486599;299,056486573981;300,561780468573;84,263290941616;54,1620028632541
49;3,9811;33,1543317315553;333,10174810769;334,747642717563;84,3159487591792;51,6569578695787
50;3,5481;36,3602375144041;371,313834989167;373,089842968777;84,40724487997;49,106910876017
51;3,1623;40,3954321020173;413,508577793763;415,476996768448;84,4205097477945;46,5218608825436
52;2,8184;45,3393910282585;462,473658039204;464,690805545984;84,4008034592965;43,9818138889566
53;2,5119;49,4369601028035;513,046842644978;515,42320065378;84,4959979872693;41,2917648957483
54;2,2387;55,1695317301203;571,276118917697;573,933864898201;84,4839121429322;38,5717139026158
55;1,9953;61,3561831867299;636,10322671107;639,055471964272;84,490503618881;35,8366629095211
56;1,7783;67,8129946509369;708,955979615473;712,191816350106;84,5361720830974;33,0166119166411
57;1,5849;75,4187161895862;789,815061839905;793,407722839183;84,5454170166732;30,0965589240135
58;1,4125;82,9764520701764;879,959343843338;883,862850455517;84,6131781294657;27,1065029315627
59;1,2589;92,7894053035363;980,277553380946;984,659309304044;84,5927069236548;24,0714479392254
60;1,122;102,924051578765;1092,67137880547;1097,50813320633;84,6189082231971;20,9563909470902
61;1;114,252025595565;1211,74449419662;1217,11882927202;84,6136639428966;15,8112949600803
