Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;10000;339,880878234545;3160,46372680971;3178,68683261963;83,8619184188199;184,909422533149
2;9261;136,593670227739;3189,16476091325;3192,08861139492;87,5474893809604;183,569399536532
3;8576,5;-175,874807302072;3267,34209525298;3272,07217451811;93,0811492346177;182,359375539587
4;7942,7;-641,01832226082;3463,82092017596;3522,63535673545;100,484600032611;181,119354542718
5;7355,7;-1326,25472437887;3771,10530703264;3997,52258663625;109,376191734534;179,889331545823
6;6812,1;-2187,36055254;4294,61005678368;4819,56654966352;116,990969244614;178,649306548954
7;6308,7;-3229,762112632;4965,70962798554;5923,65051413918;123,040499457539;177,414283552072
8;5842,4;-4346,33209150908;5759,80095197759;7215,67111612521;127,038117435613;176,209261555114
9;5410,7;-5618,11906428397;6845,48006782948;8855,72465581003;129,375894032302;174,984239558207
10;5010,8;-6991,95050233076;8089,15365114794;10692,136298183;130,838862760695;173,784215561237
11;4640,5;-8404,39120540234;9698,56096902567;12833,3891238189;130,910913897205;172,574193564292
12;4297,5;-10069,1329934791;11467,5115767314;15260,7752425242;131,284988612925;171,324171567448
13;3979,9;-11795,6312642689;13550,1866597098;17965,0904655549;131,040037056834;170,094150570554
14;3685,8;-13657,1292504128;16058,0834637601;21080,3041698066;130,380603509208;168,859127573672
15;3413,4;-15553,1755254572;18962,1795133173;24524,7940016007;129,359318995175;167,664105576689
16;3161,1;-18051,58893469;22187,9831488101;28603,6092002199;129,130940920278;166,479081579681
17;2927,5;-20246,9516352654;24698,2272979089;31936,5227001931;129,343991128523;165,254060582774
18;2711,2;-22061,0876946166;23504,1713216185;32235,6582030763;133,186008918718;163,999036585942
19;2510,8;-22685,6658214055;19940,232708234;30203,5149315276;138,685195191125;162,734012589136
20;2325,2;-21435,0605693627;16478,5706218173;27037,1061940895;142,448099924261;161,518991592204
21;2153,4;-18319,938003706;17468,2369378293;25313,2263881113;136,363290166542;160,368971595107
22;1994,3;-15281,4779123941;47521,6377684176;49918,2293694366;107,826172813758;158,323932600271
23;1846,9;-7853,48759700351;55776,671261319;56326,8526053919;98,0146941879555;157,093909603376
24;1710,4;-622,359671007255;65726,6028238716;65729,5492935031;90,5425127009867;155,893887606406
25;1584;6390,60194163377;77053,0413885179;77317,5981287383;85,2588708994197;154,688862609448
26;1466,9;12988,1845667139;89712,9967950987;90648,302423688;81,7622483593734;153,493840612465
27;1358,5;18047,7166785699;103533,204076674;105094,454771373;80,1116650822834;152,273818615546
28;1258,1;23782,6258426703;118519,345023788;120881,960758586;78,6534631702431;151,068797618588
29;1165,1;30209,9886579813;135025,11985851;138363,385357255;77,3885639024245;149,86377562163
30;1079;34673,5119513489;152967,477530355;156848,020749514;77,2284426062505;148,698753624572
31;999,28;74891,4512156627;149964,425658832;167624,754819721;63,4626968235942;145,878701631692
32;925,43;63342,5934210292;126193,849181095;141199,049970043;63,3457855329355;144,668677634747
33;857,04;61997,7499645293;127827,004393143;142068,518866035;64,126015008956;143,388653637978
34;793,7;47544,769541978;81697,4494158789;94525,0144240131;59,8022429545077;142,20363264097
35;735,04;42815,0183339727;75232,5979156263;86562,5183556527;60,355711232431;140,963610644101
36;680,72;40657,4154480292;69149,3327404549;80216,3053834056;59,5459447372654;139,768589647118
37;630,41;33463,4662104878;59078,0155431605;67897,0948667052;60,4715519886407;138,543565650211
38;583,82;29862,46944746;49152,3078280473;57512,7502935097;58,7192397429577;137,353543653216
39;540,68;25084,2214007223;43457,6007057651;50177,4971713633;60,0059689533384;136,123520656321
40;500,72;17253,4949277264;40954,101656172;44440,0892177902;67,1548642022517;134,96350065925
41;463,71;17680,5446424169;35314,0061344849;39492,7928629887;63,4044006445811;133,76347566228
42;429,44;14063,5322558136;29399,1570325321;32589,7740669338;64,4351722880858;132,538453665373
43;397,71;12685,301901382;22001,6024252347;25396,602009074;60,0338575653085;131,333430668415
44;368,31;9204,23253573631;23726,4727022231;25449,2318835214;68,7971867385061;130,098407671533
45;341,1;7401,39138990118;21584,1976253696;22817,9355253168;71,0727545201972;128,868386674639
46;315,89;6042,02823293903;19522,3665227527;20435,9707333987;72,8030899348336;127,618362677795
47;292,54;-1087,32422002153;8785,24119691596;8852,27297632844;97,0554551621464;126,383339680913
48;270,92;-606,632397131031;11727,5685542502;11743,2477219842;92,9611019152374;125,148316684031
49;250,9;5872,00506298268;13692,6390810204;14898,6176695284;66,7882206684811;123,96829568701
50;232,36;-416,488853099093;18408,9810135436;18413,6917787217;91,2960512725742;122,778274690015
51;215,19;3753,32368029009;20858,2077462609;21193,2128058774;79,7990960070932;121,573251693057
52;199,28;1215,19334700203;22710,3396380055;22742,8279100063;86,9371169332796;120,323228696213
53;184,55;8694,01353258982;32281,4615153492;33431,7009569035;74,9267940589136;119,073205699369
54;170,92;10555,1789919427;34943,8080541392;36503,1714358694;73,1924548564122;117,778178702639
55;158,28;10295,5017631367;38850,5169943482;40191,5417380683;75,1576148028746;116,503158705858
56;146,59;6003,54669348316;52837,4623982857;53177,438877696;83,5176868266046;115,213131709115
57;135,75;15132,8795173169;52489,4974840751;54627,3868001788;73,917569883253;114,048113712056
58;125,72;13188,643987597;51750,8822045258;53405,0010689849;75,7025891320608;111,898072717485
59;116,43;27755,0801851129;70863,2892899408;76104,8634784394;68,6111725635769;110,623046720704
60;107,83;-9565,21470794935;82184,8518839928;82739,6108983056;96,6385928451209;109,328022723973
61;99,856;53208,1024404873;16820,9145661118;55803,631890387;17,5435402831568;108,073001727142
62;92,477;78061,0145670034;32296,2148869119;84478,2071971908;22,4763669713151;106,782976730399
63;85,642;27148,4534857779;93994,8986885848;97837,0047893268;73,8897483826657;105,482951733681
64;79,313;55913,5386833357;119323,154078663;131773,81723003;64,8927200798109;104,187927736951
65;73,452;78469,9722343948;241784,434390115;254199,231422549;72,0194113766379;102,89290474022
66;68,023;87035,5750619085;245625,819500169;260590,16583802;70,4886193665681;101,562883743578
67;62,996;11184,2619591713;102786,722726105;103393,414124617;83,7900557347487;98,6428277509508
68;58,34;-20680,9668821529;73426,4261696612;76283,3038824972;105,730173213074;97,2928027543593
69;54,029;-32609,506098032;-107016,789991124;111874,81051587;-106,946708782561;95,8727737579445
70;50,036;134798,495661315;-151609,45683748;202869,568528918;-48,3591709329242;68,962275825887
71;46,338;-83221,3610490295;-26237,344807051;87259,3444702457;-162,50140871785;67,472247829649
72;42,914;65121,9322073006;-84596,4791803388;106758,748325942;-52,4111094856318;66,0322238332847
73;39,742;-1532992,41587275;588266,116510417;1641987,4454324;159,006337366422;64,6221968368446
74;36,805;86035,4241419743;80790,5850535258;118022,086240586;43,1992724270038;63,3321708401016
75;34,085;101390,893529217;449100,847182039;460403,82734104;77,2779477223692;61,9321478436364
76;31,566;154318,595446291;183905,26380287;240073,68651087;49,9993132385315;60,4671208473352
77;29,233;84542,4932373916;-213198,782493829;229349,41469218;-68,3695431402354;59,0120918510088
78;27,073;-207162,9343679;60969,5891629742;215948,540579974;163,600452581949;57,5170648547834
79;25,072;-1168197,98051258;-2027954,48936204;2340360,21428269;-119,943983211681;55,9770368586716
80;23,219;839540,502704222;61883,9626760068;841818,199207729;4,21574538474561;54,2170028631152
81;21,503;368817,216411428;-27477,2651488989;369839,342446875;-4,26072371954043;52,6269728671297
82;19,914;575097,072660047;122018,04007776;587898,839160764;11,9787782389599;50,9719438713082
83;18,442;-297901,445789698;-56178,6468575215;303152,291375696;-169,320505717373;49,2419098756761
84;17,079;-194022,96713164;-671317,238434105;698793,06407073;-106,120261574524;47,5068788800567
85;15,817;21592,9237254482;-258143,950164123;259045,465818938;-85,2185204782895;45,7618478844624
86;14,648;157387,522775579;250276,100046838;295650,061018239;57,8360363515314;43,9568118890197
87;13,566;-235577,93983884;-870298,959850015;901619,235184526;-105,146215058487;42,1017788937032
88;12,563;4470738,37143959;-9044039,73207251;10088714,3016922;-63,6954405724904;40,1767438985635
89;11,635;1307693,60012272;1428857,95398451;1936929,94309725;47,5351888381982;38,1917079035752
90;10,775;330233,235527278;589145,699212029;675386,292981168;60,7281063212709;36,1266679087889
91;9,9785;3458653,6057453;6459049,90926396;7326773,53921204;61,8321061230613;34,0066309141415
92;9,241;140457,596264701;-441551,462812207;463353,03026964;-72,3541238038758;31,7515889198349
93;8,5581;-731847,831586346;-267222,790297957;779107,995243447;-159,941124867412;29,4865449255536
94;7,9256;339548,48700735;478274,736452722;586549,144196718;54,6273648956954;27,2515029311966
95;7,3399;-4505184,8139285;1584539,74617903;4775715,27782729;160,622476931185;24,9864639369152
96;6,7974;-444889,487012487;387342,209222481;589881,888770613;138,955600350668;22,7264209426213
97;6,2951;12231735,6953752;-9076902,44853082;15231727,2881857;-36,5782986113848;20,4463769483779
98;5,8299;-488959,931059874;-347856,762481722;600071,780194955;-144,571123139703;18,1013339542985
99;5,399;-4144420,73696796;3160517,31137118;5212014,28628961;142,671013442495;15,7262899602949
100;5;-35319104,0222377;-8859743,77147555;36413378,9784723;-165,918010693225;13,4412519660641
