Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-451567,420930394;1236387,2258719;1316269,9221455;110,063780167066;88,5126367765271
2;88936;-156031,050558961;1458459,60171969;1466782,22602637;96,1064741295088;87,2326137797588
3;79096;-40602,0947060274;1269187,68110458;1269836,95802341;91,8323023456443;85,8225867833188
4;70344;294564,288927187;1287729,21133812;1320990,02344631;77,1154347488269;84,5425657865505
5;62561;218586,516328578;1000113,42700707;1023722,09705588;77,6712078407672;83,1325387901105
6;55639;161036,35059428;1148727,39160488;1159960,05381051;82,0198960200253;81,8175127934306
7;49483;237084,598515257;1096855,69226343;1122186,0436237;77,8031936861117;80,4224867969527
8;44008;308147,419550368;1337801,43530779;1372831,93162423;77,0288067469489;79,1524638001592
9;39139;266858,531775825;1301261,48712787;1328342,92781035;78,4106514095535;77,8774418033784
10;34808;313583,531093225;1473626,88139311;1506622,32046963;77,9868144069566;76,5674178066859
11;30957;321310,550458721;1473607,66713647;1508230,76035449;77,6995501830863;75,1973898101448
12;27532;402488,953541206;1743871,74743094;1789716,74552442;77,0036047786564;73,9123688133892
13;24486;298404,469326091;1713865,14646018;1739649,09322678;80,1231293382842;72,632343816621
14;21777;228309,877094295;1819836,72875938;1834102,26522963;82,8492465206854;71,2423168201304
15;19367;532311,456799695;3847346,07638068;3883996,3077328;82,122676398921;69,9572928233748
16;17224;490212,38248293;4248846,96519573;4277032,69961694;83,4185768853822;68,6422708266949
17;15319;362672,235575823;4620146,99079433;4634359,65015702;85,5116006533118;67,3572448299393
18;13624;530164,215498371;5663317,54812027;5688078,73945517;84,6519153719622;66,0872208331458
19;12116;444306,718944297;6460704,70340745;6475964,30851268;86,0659273994621;64,8271998363271
20;10776;384950,526516026;6544755,19946307;6556066,46768959;86,6338453269156;63,6121768393947
21;9583,4;80889,7682919303;7864168,70007954;7864584,69964721;89,4106841969942;60,597122847007
22;8523,1;835434,200824159;8446383,8236258;8487599,77849535;84,351231604527;59,307094850264
23;7580,1;-177535,271015464;9845421,87489864;9847022,42645903;91,0330608040691;58,0420728534579
24;6741,4;-1582229,64959569;9930924,39145255;10056177,6999418;99,0524799429948;56,7620508566896
25;5995,5;-493697,858926173;13032771,5135871;13042119,1108376;92,1693992602394;55,4920278598961
26;5332,1;-2380160,40972801;13102498,8127721;13316930,5290195;100,29590577949;54,2020028631531
27;4742,2;-2574862,64921367;18314077,9321032;18494198,2298629;98,0030275475368;52,9119768664101
28;4217,5;-4644306,03721916;15740855,5499411;16411706,5539042;106,438582814759;51,6319568696418
29;3750,8;-1801352,40721334;17034740,6848343;17129718,6402615;96,0363553044937;50,356931872861
30;3335,8;-18722879,113428;22533343,6311767;29296719,5688652;129,723077582463;49,0469078761685
31;2966,8;-14250652,2251893;26392100,1032226;29993733,2905028;118,367227902038;47,7668818794002
32;2638,5;-12126314,0129279;29611988,3814638;31998708,5277528;112,269438961269;46,5168598825562
33;2346,6;-1128193,04654442;24844646,3975872;24870248,7758248;92,600009793244;45,2518408857501
34;2086,9;-14520339,5256662;22203616,9459079;26529999,3483082;123,183193236542;44,0568148887672
35;1856;-17429482,2963521;12227660,259981;21290902,483276;144,948404879409;41,9667768940441
36;1650,7;51602616,5265586;-17175333,2379901;54385863,0916442;-18,4094241196415;40,7367538971496
37;1468;776825,477970332;33319417,0643986;33328471,4821211;88,6644196278142;39,4867289003056
38;1305,6;71838397,1810656;36421962,456238;80543867,9149949;26,8849417614837;38,2117049035247
39;1161,2;-18152254,450234;39194571,3765696;43193966,7895766;114,850357283841;36,9416839067312
40;1032,7;65069210,5581462;-3641548,63204517;65171029,1394873;-3,20317318561251;35,6466569100008
41;918,42;-6646536,41347017;-26336130,0609128;27161888,6103471;-104,164153811122;34,37163391322
42;816,8;1642042,98513883;37770980,6025384;37806656,56789;87,5107098632015;33,1166129163886
43;726,43;2513239,22637322;1223322,42538994;2795154,58703861;25,9545625646844;31,8965929194688
44;646,06;-275415,090566462;-66279,8784478366;283278,121991079;-166,468814751159;27,5665079304013
45;574,57;159440494,898689;104475184,039819;190620920,92342;33,2352737084348;26,2664839336835
46;511;-10247084,0948838;-9140882,74356115;13731659,3964151;-138,265532011794;25,0114639368521
47;454,46;-12815843,675966;-19250169,1478528;23126064,5451781;-123,653781203991;23,7264389400965
48;404,18;-147288,096442348;1926581,90349089;1932203,82315433;94,3717854175017;22,4664149432778
49;359,46;-1262178,60631192;2442540,91615923;2749381,92351362;117,327578121305;21,1713899465474
50;319,69;-5492611,995028;-3678833,50361866;6610794,39063662;-146,186674169015;19,8863669497918
51;284,32;-5383611,57004619;-1096964,4721179;5494233,75824365;-168,48307408354;18,586343953074
52;252,86;-1853623,42995296;-2566426,3082627;3165827,50885349;-125,839022106869;17,3113189562931
53;224,88;-7310755,83431531;2171012,61433364;7626299,66894635;163,460610501415;16,126299959285
54;200;-70424,4490771385;3862980,91404686;3863622,80060025;91,044420582416;14,0712599644735
