Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;16,5886518499974;1,80690371420522;16,6867693467858;6,21638295841072;138,353563650691
2;891,25;16,6126692903022;1,99847483666488;16,7324440122097;6,85961800028088;137,073540653923
3;794,33;16,6479646269158;2,21291434481145;16,7943953781168;7,57159971909614;135,793514657154
4;707,95;16,6892055601861;2,45053995863804;16,8681572294969;8,35326737775158;134,478490660474
5;630,96;16,728606461546;2,71478785980574;16,9474584309573;9,21783730929646;133,163465663795
6;562,34;16,7585472406765;3,00695803869944;17,0261769714897;10,1722438669108;131,843443667127
7;501,19;16,8088462881971;3,33667815180688;17,1368239364528;11,2276711719564;130,573417670334
8;446,68;16,8558801277827;3,70371123517435;17,2579886370265;12,3925604957411;129,298396673553
9;398,11;16,9027598242283;4,10876704991463;17,3949779058788;13,6626175794169;128,018372676785
10;354,81;16,9541402722903;4,55967745414307;17,5565808419041;15,0530507523482;126,698346680117
11;316,23;17,0092740519793;5,06576734221973;17,7476027265892;16,584786210602;125,373322683463
12;281,84;17,0673833806041;5,62887320249579;17,9716384614841;18,2527074035014;124,043296686821
13;251,19;17,1364967598871;6,25209802925224;18,2413884057382;20,0440468800835;122,743275690103
14;223,87;17,1993950550805;6,95507516970115;18,5524192728852;22,0173767770934;121,408249693474
15;199,53;17,2724922714753;7,73430326458966;18,9250742734822;24,1219543729838;120,073225696844
16;177,83;17,3551524417863;8,60637458989065;19,3719126536116;26,3766924060992;118,733200700227
17;158,49;17,4448226235946;9,58230384982972;19,9033259391274;28,7796460693942;117,353174703712
18;141,25;17,5296967125026;10,6593853525123;20,5161585811203;31,3027744801679;115,998150707133
19;125,89;17,6348459702624;11,8683460949218;21,2566561675097;33,9407655844201;114,683123710453
20;112,2;17,7403073994008;13,2154081526948;22,1216075199689;36,6837826615159;113,358101713798
21;100;17,8628059363548;14,7291063215978;23,1522441450673;39,5079159994287;111,978076717283
22;89,125;17,9918524051371;16,4123039488774;24,3530382884472;42,3713073799869;110,548049720893
23;79,433;18,1382936850038;18,2922708572721;25,7605293214105;45,242164503624;109,158021724402
24;70,795;18,2991166907115;20,3923881045981;27,3990358273577;48,0967729658149;107,737995727988
25;63,096;18,4692297650862;22,7384826051465;29,294215116642;50,9149262025141;106,357971731472
26;56,234;18,6709856621287;25,3687684827774;31,4988907729808;53,6475586279095;104,787939735436
27;50,119;18,891245903899;28,2918491092861;34,0192283543321;56,2678734124597;95,7777737581844
28;44,668;19,1350167395094;31,561128464424;36,908721131586;58,7722244057365;94,1477457622998
29;39,811;19,405644243435;35,2169930319339;40,2096459411675;61,1438865423711;92,6277177661375
30;35,481;19,6933314954743;39,2920682577717;43,9510401852337;63,3798000954352;91,1926917697606
31;31,623;20,0324043111706;43,8538195698043;48,2125991142062;65,4491015454354;89,6726627735983
32;28,184;20,4047403650887;48,9467407350588;53,0295847424035;67,3698973202511;88,1026337775622
33;25,119;20,8186951195952;54,6151151412166;58,448514680623;69,1336909507683;86,4576037817155
34;22,387;21,2936838144973;60,9613575287476;64,5732768422013;70,7457908387999;84,6875687861844
35;19,953;21,8308226036268;68,0501952126508;71,466173005352;72,2135148234026;82,9325357906155
36;17,783;22,4362080663947;75,9719156875492;79,2156260193319;73,5469492289112;81,1425027951349
37;15,849;23,1179519627452;84,7938864346752;87,888809752143;74,7496948536206;79,3424717996795
38;14,125;23,8886840639894;94,6448878810523;97,6131345072273;75,8342298304286;77,4724388044009
39;12,589;24,7578328892308;105,662768772635;108,524517939821;76,8129250169704;75,6074018091097
40;11,22;25,7136490876184;117,936993725402;120,707606381647;77,7003589830446;72,7073488164316
41;10;26,8315520398297;131,599980933652;134,307435261804;78,4760743252057;70,5373078219104
42;8,9125;28,0938857628275;146,873329173702;149,536086747719;79,1712830386046;68,2522658276796
43;7,9433;29,5101064353447;163,87194469419;166,50783957424;79,7915707346374;65,957221833474
44;7,0795;31,1260170465614;182,86298095577;185,493123164211;80,3399841251992;63,537176839584
45;6,3096;32,9710513108726;204,10018571498;206,746163285884;80,8235172448506;61,1521348456057
46;5,6234;35,0660585246006;227,756964604282;230,440585371168;81,247319237241;58,7420888516905
47;5,0119;37,4325072113416;254,069521940734;256,812216561674;81,6188079831271;56,3120428578258
48;4,4668;40,1322480340931;283,567653673255;286,393455829607;81,9446446695183;53,8720008639863
49;3,9811;43,2500333434505;316,216646909896;319,160669831273;82,2117848018728;51,3669538703109
50;3,5481;46,7732151848918;352,633359664046;355,721829533534;82,4444031152207;48,8169048767492
51;3,1623;50,8185987425813;393,539086807371;396,806681928793;82,6419838442916;46,2418568832505
52;2,8184;55,4269894740599;438,770712028013;442,257717734499;82,8003395614423;43,6868138897014
53;2,5119;60,6030751332387;489,360309091795;493,098615725112;82,9403534810466;41,0817608962785
54;2,2387;66,6501516495065;545,684852726032;549,740121520644;83,0363638751056;38,361712903146
55;1,9953;73,531782294637;608,375986419025;612,803609534693;83,1083354296777;35,621659910064
56;1,7783;81,4220462153805;678,150675301243;683,021147565309;83,1535648034765;32,7466069173228
57;1,5849;90,5018184530549;756,209893160962;761,606185412003;83,1754048480072;29,8665549245942
58;1,4125;100,993284284225;842,558293753828;848,589489590742;83,1648495311153;26,911497932055
59;1,2589;112,769347495103;939,021815321564;945,76894397325;83,1520098305779;23,8864429396925
60;1,122;126,95976428717;1046,37955528143;1054,05358282149;83,081980135615;20,8113869474563
61;1;141,114295043283;1160,6069491392;1169,15428180192;83,067626398598;15,7212929603076
