Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,376652337172362;1,60677063333893;1,6503268922422;76,8071762810943;140,509601645247
2;891,25;0,385805479127565;1,79755029782813;1,83848658981969;77,8864676894573;139,214576648517
3;794,33;0,396181786163209;2,00995219923657;2,04862584453662;78,8493688404303;137,924551651774
4;707,95;0,407957046749062;2,24765927053562;2,28438200579871;79,712631606375;136,619526655069
5;630,96;0,422936852315928;2,52314881598236;2,55835015755078;80,4843934825682;135,249500658528
6;562,34;0,438227120236654;2,82121272669591;2,85504540387397;81,170642360865;133,929476661861
7;501,19;0,455584657192548;3,15569029971556;3,18840691374049;81,7850107939947;132,744454664852
8;446,68;0,475332819226427;3,5277724158038;3,55965159906695;82,3261708143277;131,409430668223
9;398,11;0,497810484116696;3,94438555302519;3,97567512115997;82,8068814745069;130,094407671543
10;354,81;0,522662130644313;4,41245036878341;4,44329764474387;83,2446957845377;128,749381674939
11;316,23;0,551865971264385;4,93300783335422;4,96378105219939;83,6167418386359;127,404358678335
12;281,84;0,584459286565816;5,51563891835511;5,54651830749043;83,9512804336722;126,069330681706
13;251,19;0,622541319980491;6,16109291795755;6,19246506964631;84,2301898632687;124,724308685101
14;223,87;0,663194347788115;6,89032571523377;6,92216838894792;84,5022126518926;123,37428368851
15;199,53;0,710459320648587;7,70166926904973;7,7343688802721;84,7295267521487;122,044257691868
16;177,83;0,763847752273224;8,61053029934707;8,64434470764712;84,9305112903193;120,709233695238
17;158,49;0,82567643905059;9,62058834772962;9,65595472951661;85,0946728157207;119,324206698735
18;141,25;0,894722273054667;10,7514730933472;10,7886376166256;85,2428881771613;117,914180702295
19;125,89;0,970365495584604;12,0179133749261;12,0570249681358;85,3837664428818;116,529154705792
20;112,2;1,06030449059474;13,4236805598513;13,4654909077131;85,4837199639822;115,119130709352
21;100;1,15875622452821;14,9917058510557;15,0364211271319;85,5802161336809;113,749102712811
22;89,125;1,27359086626676;16,7509245654844;16,7992710405299;85,652105189419;112,349077716346
23;79,433;1,40211078726362;18,7163328354691;18,7687780494048;85,7157604921254;110,904052719994
24;70,795;1,54825226243322;20,9122934635223;20,9695279625605;85,7658028428811;109,404024723781
25;63,096;1,71270832073523;23,3528144860411;23,4155357447009;85,8054057870293;107,983998727367
26;56,234;1,90212430004663;26,0946398568838;26,1638740654609;85,8308954515758;106,373969731432
27;50,119;2,11115632320548;29,1292495721293;29,2056529058401;85,8547087653782;97,2387967544956
28;44,668;2,35049320450449;32,5404025983213;32,625183824237;85,868525415263;95,5387657587878
29;39,811;2,62410655416716;36,3381153605983;36,4327402643251;85,8696345511219;93,998739762676
30;35,481;2,92800390536184;40,5740844843827;40,6795960970071;85,8724403412489;92,4937107664758
31;31,623;3,27429232216884;45,3377175774284;45,4557985887573;85,8692674646294;90,8686817705786
32;28,184;3,67542005542659;50,6046323195443;50,7379298432652;85,8458954199072;89,2436497746814
33;25,119;4,11036813887955;56,4991909164078;56,6485101343876;85,839009927684;87,58862177886
34;22,387;4,60166703718551;63,0813831526433;63,2490018891342;85,8277720151657;85,7885867834046
35;19,953;5,1807372695282;70,3778091275514;70,5682368792783;85,7898668917191;83,998551787924
36;17,783;5,81524020374451;78,5556196042412;78,7705680443749;85,7662852066137;82,1885207924939
37;15,849;6,54847885752297;87,6878998060422;87,9320780360724;85,729113962941;80,3484857971396
38;14,125;7,36098809027456;97,8176815455316;98,0942555331769;85,6964822254599;78,3834488021008
39;12,589;8,25908419355956;109,249330256062;109,561072617579;85,6767491618834;76,4784158069106
40;11,22;9,28996446964361;121,882326412512;122,235857797839;85,641299447996;73,5433598143209
41;10;10,4585624156648;135,966351272871;136,367995535096;85,6014570520937;71,3483198198628
42;8,9125;11,7637863582139;151,613874701341;152,069568525184;85,5632847610273;69,0282758257204
43;7,9433;13,23837015369;169,262311203371;169,779222634082;85,5278776407463;66,5532298319692
44;7,0795;14,893957954186;188,731958785264;189,318731905915;85,487801706308;64,0681838382434
45;6,3096;16,7006774553245;210,363980853634;211,025868243812;85,4608407894046;61,6981408442272
46;5,6234;18,7554546789552;234,642810122937;235,391196569887;85,429953596187;59,2330938504508
47;5,0119;21,1421281016623;261,758123830575;262,610557617111;85,3822606715179;56,8180518565482
48;4,4668;23,7340529354354;291,891992776157;292,855323864153;85,3514449634331;54,328004862835
49;3,9811;26,6025611483826;325,432415716072;326,517922109111;85,3267318455135;51,8179568691722
50;3,5481;29,8260439234817;362,808923325346;364,03283882175;85,3003575343234;49,2829118755726
51;3,1623;33,4270274654102;404,390676579988;405,769867622022;85,2746602861524;46,6478608822255
52;2,8184;37,4759659949735;450,813881882901;452,368880589268;85,2479525351818;44,0978128886637
53;2,5119;42,1319546660014;502,679541419503;504,442090795068;85,208967102468;41,4327638953923
54;2,2387;47,2100389596674;560,463914641673;562,448742014809;85,185121597236;38,7127139022598
55;1,9953;52,8162755643899;624,500026367786;626,729480635672;85,1657881475659;35,9176639093166
56;1,7783;58,9775779931814;696,468133636247;698,960811402684;85,1596870856809;33,0726099164997
57;1,5849;65,9784145516169;776,203030411066;779,002115277017;85,1414522915588;30,1425579238974
58;1,4125;73,1112311791592;865,424721130522;868,507455390208;85,1711085567058;27,1425019314718
59;1,2589;82,0676575271033;964,435187328608;967,920622246242;85,1361893815088;24,0924429391724
60;1,122;91,988958537523;1075,14239517221;1079,07049741407;85,1096950014244;20,9773879470372
61;1;101,64590099386;1192,71002488783;1197,03345511175;85,1288723032824;15,8872929598884
