Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;1,02572352892653;1,73541802099245;2,015883048537;59,4146742804183;140,574603645083
2;891,25;1,03527765126688;1,940177897982;2,19911120478945;61,9156483735425;139,254578648416
3;794,33;1,050008949671;2,17751791214576;2,41745797318274;64,2564257143758;137,964555651673
4;707,95;1,06205731700888;2,43467428092991;2,65623880681569;66,4321343279947;136,694531654879
5;630,96;1,07600493223097;2,72336052833752;2,92822116335023;68,4409295726339;135,319507658351
6;562,34;1,09133593567819;3,04533562297092;3,23497808045716;70,2841937117531;133,989480661709
7;501,19;1,10842222766611;3,40375394716259;3,57968445084329;71,9623164091074;132,679457665017
8;446,68;1,12819146791202;3,80767279661051;3,9712955208996;73,4957476119651;131,41443266821
9;398,11;1,15009164750974;4,25845203989117;4,41102307562825;74,8865424796279;130,11941167148
10;354,81;1,17360541779471;4,7615328618048;4,90403353075039;76,1539258644794;128,789386674838
11;316,23;1,2023281557492;5,32487507023938;5,45892732208115;77,276289199214;127,439360678247
12;281,84;1,23280752174216;5,95255633500277;6,07887664844794;78,299147504034;126,109336681605
13;251,19;1,26794934343188;6,66040608144255;6,78002247099714;79,2215084318278;124,854310684773
14;223,87;1,3093851968413;7,44712149732192;7,56135624009221;80,0279333771643;123,56428768803
15;199,53;1,35402652642325;8,3265255424222;8,43590039313333;80,763636885724;122,199263691477
16;177,83;1,40484830325097;9,31185829423541;9,41723439482463;81,4206812353171;120,874239694822
17;158,49;1,46267760753769;10,407007369024;10,5092924672649;81,9996323099931;119,494212698306
18;141,25;1,52845951926008;11,6388279239612;11,7387607499938;82,5184915766825;117,984185702119
19;125,89;1,60347338213525;13,0057441241907;13,1042171498773;82,9714932071521;116,684160705401
20;112,2;1,69027918657206;14,5427172431046;14,6406170819897;83,3703403906163;115,359136708746
21;100;1,78379061477705;16,2579196248128;16,3554840797893;83,7386516532793;114,004110712167
22;89,125;1,89512314246902;18,1745521333256;18,2730905150742;84,0470847979666;112,634084715626
23;79,433;2,02080981830363;20,3170035218756;20,4172550659891;84,3198166777867;111,164059719338
24;70,795;2,16248116413517;22,6967433880623;22,7995281795213;84,5574500682222;109,719031722986
25;63,096;2,32387212409823;25,3738404207146;25,4800345240161;84,7671440929656;108,309007726546
26;56,234;2,51187930474913;28,3668464354697;28,4778425154566;84,9396673177924;106,768978730434
27;50,119;2,72022904094726;31,7182494469549;31,8346822508796;85,0981783693745;97,6938107533468
28;44,668;2,95802539264859;35,4355649523983;35,558812940243;85,2282306695284;96,0587777574749
29;39,811;3,23397506278146;39,5924679068414;39,7243264217401;85,3303572807213;94,5087497613883
30;35,481;3,53872159659181;44,2287062173139;44,3700462496451;85,425531550629;92,9687227652765
31;31,623;3,89587832887022;49,433121396855;49,5864029648206;85,4937712666073;91,4686937690637
32;28,184;4,29137701385875;55,2394814818861;55,4059223464668;85,5577980691262;89,8636637731161
33;25,119;4,74528324487186;61,714132814988;61,8962995839011;85,6031015364067;88,1836327773577
34;22,387;5,25748457068483;68,9187642261298;69,1190075628105;85,6376267196072;86,4235997818014
35;19,953;5,84952228916666;76,9596170263842;77,1816012004103;85,6534378854929;84,6685677862324
36;17,783;6,50745832585628;85,9869581749413;86,2328475120813;85,6721284116228;82,8485357908276
37;15,849;7,25108886363088;95,9923726623069;96,2658501185518;85,6801850963485;81,0534997953596
38;14,125;8,1135019585196;107,213699488999;107,520259821804;85,6723343638938;79,263468799879
39;12,589;9,09283084784039;119,715738928947;120,060558553304;85,6565239080677;76,4984158068601
40;11,22;10,1927674544356;133,537416599793;133,925853144667;85,6351383277577;74,4033788121495
41;10;11,4504427005448;149,107839374732;149,546850187623;85,6087020594703;72,188336817742
42;8,9125;12,8884152570064;166,430903491376;166,929197220836;85,5718504371635;69,84829282365
43;7,9433;14,4952982748841;185,792592460309;186,357186835389;85,5388940479138;67,468249829659
44;7,0795;16,3133022451157;207,27763899468;207,918598151655;85,4999455315901;65,0182048358448
45;6,3096;18,4326460560256;231,365626179123;232,098719121594;85,4449289524611;62,5981588419548
46;5,6234;20,7270908758889;258,099507850251;258,93043129134;85,4086246683673;60,153112848128
47;5,0119;23,4570526124238;287,909260165534;288,863246894317;85,3421848575427;57,7630698541623
48;4,4668;26,604088767509;321,308567404783;322,408084617715;85,2667528081363;55,273022860449
49;3,9811;29,9466882786299;358,176992084335;359,426712693198;85,2206940041662;52,7279788668747
50;3,5481;33,9086483830696;399,427631820535;400,864352988548;85,1476183342676;50,1879308732877
51;3,1623;38,3076607952699;445,304085586021;446,948772808706;85,0831871079773;47,6728818796375
52;2,8184;43,255383157622;496,646606611072;498,526709445347;85,0223907635128;45,0828378861768
53;2,5119;48,9911270135831;553,973124104624;556,135192876964;84,9461424940683;42,4327858928675
54;2,2387;55,2245535537739;617,161252989548;619,627116503823;84,8867023829985;39,8127388994825
55;1,9953;62,4096080687475;687,75317982947;690,579029181196;84,8149416788864;37,0676879064131
56;1,7783;70,4715490702945;766,748376492658;769,98007252298;84,7487202424729;34,2526339135204
57;1,5849;79,5317001662693;853,980425438596;857,675846904658;84,6793574009956;31,387580920754
58;1,4125;89,5630090861301;951,799611965978;956,004201839693;84,6243764200148;28,3175239285051
59;1,2589;100,908867254446;1060,12963588197;1064,92133247757;84,5626598554783;25,1824679364204
60;1,122;113,752806960953;1180,51834721129;1185,98620109763;84,4960654709086;22,0624099442978
61;1;127,469879277484;1309,58292679952;1315,77202139573;84,4405574182489;16,5773089581463
