Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,656179034264107;1,68318630030259;1,80656775309815;68,7020058241873;139,815586647
2;891,25;0,666069872621142;1,88045852005685;1,99493692152608;70,4955441314854;138,550565650193
3;794,33;0,677862328281791;2,10233662802443;2,20891752531341;72,1289751949109;137,26054065345
4;707,95;0,693591462293936;2,35990905850516;2,45972353751021;73,6216206215638;135,845513657023
5;630,96;0,708399091020877;2,63730219498378;2,73078599304769;74,9648153749313;134,500488660419
6;562,34;0,725632199242916;2,9487570837866;3,03672692676832;76,1753007781434;133,035460664118
7;501,19;0,74461325231865;3,2952241434688;3,37830594399445;77,2668700081811;131,690435667514
8;446,68;0,766344863337153;3,68381629450319;3,76268347608598;78,248360503607;130,410414670745
9;398,11;0,79137355919401;4,11952472558525;4,1948487547109;79,1257764021675;129,10539067404
10;354,81;0,819278772904477;4,6026616107326;4,67500926316125;79,9069997627951;127,770363677411
11;316,23;0,850823267827118;5,14603771470332;5,21589919325757;80,6118966946267;126,40033868087
12;281,84;0,885964633292706;5,75115409759989;5,81899534161916;81,2424349881087;125,040315684304
13;251,19;0,92507231200767;6,42621386961748;6,49245588976216;81,8083788372365;123,710290687662
14;223,87;0,971225967128056;7,18518173709938;7,2505252550674;82,3019477252535;122,410263690944
15;199,53;1,02261205908595;8,02924172301784;8,09410020138363;82,7418297836368;121,075239694314
16;177,83;1,08093419952843;8,97288831508289;9,03776208243287;83,1308679780949;119,73021669771
17;158,49;1,14421077188083;10,0223283703924;10,0874319950352;83,4869598245879;118,355188701182
18;141,25;1,21986891661948;11,1963842667932;11,2626418225667;83,7820340382077;116,955165704717
19;125,89;1,30165176791515;12,503506817498;12,5710771241026;84,0567492814229;115,625140708075
20;112,2;1,39816747793683;13,9731694125367;14,0429461199497;84,2859538610127;114,230115711597
21;100;1,50504415828804;15,6040147851052;15,6764292915249;84,4907286369302;112,900089714955
22;89,125;1,62766057758029;17,4284729307878;17,504312258841;84,6645719283706;111,495064718502
23;79,433;1,76664184363248;19,4771048964162;19,5570610918327;84,8172534892518;110,100037722024
24;70,795;1,92161899378367;21,7455375977722;21,830277711779;84,9499798854089;108,630011725736
25;63,096;2,10213138735752;24,3040425563192;24,3947830682932;85,0566145627902;107,179984729397
26;56,234;2,29854288774248;27,1286215157713;27,2258223889153;85,1570330720976;105,624955733323
27;50,119;2,52512563504313;30,2972722819088;30,402318451014;85,2356954519413;96,5297887562857
28;44,668;2,78357109958378;33,8477730327145;33,9620377383424;85,2986925604819;94,8947557604138
29;39,811;3,07291892155499;37,7746304710446;37,8994134245165;85,3493008409046;93,3597277642893
30;35,481;3,40338356190577;42,176481003617;42,3135742938117;85,3865778047036;91,9497007678493
31;31,623;3,76652846113071;47,0839982952255;47,2344115250026;85,4263101736861;90,3946737717754
32;28,184;4,18674317608063;52,5819920199364;52,7484094850936;85,4475347034613;88,7796437758529
33;25,119;4,66206468849876;58,6939561568205;58,8788190820648;85,4585274769023;87,144613779981
34;22,387;5,18966726882513;65,4996260377614;65,7048982759102;85,469803949262;85,349577784513
35;19,953;5,7982845698396;73,1137249437334;73,3432810767336;85,4656477781806;83,6145457888936
36;17,783;6,46480859597539;81,5779848449176;81,8337421944041;85,4689520306656;81,8095127934508
37;15,849;7,22712221373144;91,0654051197022;91,3517340016472;85,4624093669446;80,0594817978692
38;14,125;8,09160679396351;101,57096030242;101,892757727249;85,4451758008093;78,1894488025906
39;12,589;9,06571698365128;113,393016906424;113,754839490758;85,4289527949168;75,3243928098242
40;11,22;10,1486842783328;126,541153740234;126,947467018806;85,4146549600265;73,2193558151389
41;10;11,4118645484543;141,147152421663;141,607730330009;85,3776430191513;71,0193148206935
42;8,9125;12,7788977994273;157,442032622649;157,95978559532;85,3597181522226;68,7292728264753
43;7,9433;14,3509140070016;175,693235730759;176,278364566898;85,330352705239;66,4342278322697
44;7,0795;16,1313571459136;195,875451663376;196,538579540254;85,2920206158065;64,0891848381904
45;6,3096;18,0625953336208;218,540853003311;219,286027328695;85,2751921304828;61,6941418442373
46;5,6234;20,3323597506498;243,605996784804;244,453035412833;85,2289166382179;59,3240968502211
47;5,0119;22,8350349469031;271,571843991586;272,53019148347;85,1936081706728;56,9190518562932
48;4,4668;25,6576183678428;302,829381396384;303,914375469846;85,1571058012171;54,4140078626178
49;3,9811;28,797183797343;337,624247873231;338,850129919738;85,1248367537636;51,9139638689298
50;3,5481;32,3590858556557;376,324576163816;377,713247136355;85,0853867384673;49,3739118753429
51;3,1623;36,2669024943118;419,643423603686;421,207658038591;85,0605918208101;46,7838658818821
52;2,8184;40,5879741027324;467,697635179673;469,455494796282;85,0401548086971;44,1538188885223
53;2,5119;45,5425248533173;521,370739517537;523,35606387533;85,0077983379847;41,4787688952762
54;2,2387;51,1392480606616;580,991893864113;583,238204705435;84,9697558853984;38,7787179020931
55;1,9953;57,4948143762355;647,610401256141;650,15758512479;84,9265854168432;36,0086669090869
56;1,7783;64,2578806786122;721,642243465279;724,497482937593;84,911577179625;33,1936139161942
57;1,5849;71,7432111954693;804,498181810151;807,690790394738;84,9039807214381;30,1735599238191
58;1,4125;80,63627277493;895,332876955934;898,956711441225;84,8536606790895;27,1635029314187
59;1,2589;89,5066427195257;998,171998271478;1002,17701890644;84,8759598130299;24,1034469391446
60;1,122;100,029923296114;1112,38381953053;1116,87230582012;84,8615590140941;21,0133919469463
61;1;111,670723888784;1234,45524212502;1239,4959037382;84,8310046336037;15,8732949599238
