Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;0,943339006392338;1,72753680954057;1,96831702459205;61,3628049967564;141,692624642261
2;891,25;0,954826443593162;1,9302475115184;2,15349692201028;63,6799953620671;140,392599645543
3;794,33;0,968484278005886;2,15845038324734;2,36577045667688;65,8345003808615;138,992572649077
4;707,95;0,986614775751357;2,42110382631023;2,61441244900359;67,8288006206339;137,657549652448
5;630,96;1,00296674588534;2,70428267087042;2,88428276306639;69,6511455836999;136,332523655793
6;562,34;1,0222504499014;3,02282654085671;3,19099926017405;71,3156450142871;135,012504659126
7;501,19;1,04394728565788;3,3782213236648;3,53584576118586;72,8276604705676;133,712474662408
8;446,68;1,06828239823044;3,77517360112034;3,92341216302403;74,1997759081907;132,427453665653
9;398,11;1,09547573530759;4,21802604535731;4,35795947731967;75,4411934384874;131,087426669036
10;354,81;1,12610319744739;4,71401347762623;4,84665157387479;76,5647324083099;129,777402672344
11;316,23;1,1616774429018;5,26714944939261;5,3937331972933;77,562447898779;128,422379675765
12;281,84;1,20081945982242;5,88408360819484;6,0053648751192;78,4655095614321;127,052352679224
13;251,19;1,2438097680122;6,57541068027689;6,69201676277802;79,2884488440689;125,777329682443
14;223,87;1,29641562301419;7,34757754813962;7,46107159150217;79,9936514860316;124,497304685675
15;199,53;1,35364908693893;8,20620703978282;8,31710285077392;80,6331642886772;123,202280688944
16;177,83;1,41821545460372;9,16895686968026;9,27799036180431;81,2074091295883;121,83725869239
17;158,49;1,49184674881533;10,2376726652321;10,3457985831154;81,7091417055262;120,512233695736
18;141,25;1,57350388323919;11,4318712012811;11,5396530984796;82,1629471318096;119,122204699245
19;125,89;1,66728758683657;12,7698018899931;12,8781865263278;82,5612631001919;117,892182702351
20;112,2;1,77284775896179;14,2509306053309;14,3607803511652;82,9087080684297;116,567157705696
21;100;1,89181594133191;15,9098708068444;16,0219523356661;83,218895509971;115,212132709117
22;89,125;2,02672816728947;17,7665193150227;17,8817458777144;83,4920761963601;113,802108712677
23;79,433;2,18199765124144;19,8391956861128;19,9588276013873;83,7235971464294;112,377080716275
24;70,795;2,35503349232695;22,1549546271508;22,2797710329593;83,9323424073598;110,947054719886
25;63,096;2,55248433114775;24,7250178251169;24,8564213577317;84,1059561833032;109,56702772337
26;56,234;2,77742606004887;27,6151706309367;27,7544905284674;84,2567276555909;108,007001727309
27;50,119;3,03088860143553;30,8218740797857;30,9705377335376;84,3838391820916;98,9068317502843
28;44,668;3,31665377243213;34,4009306541473;34,5604430254828;84,4930346227285;97,2818027543871
29;39,811;3,64559643625298;38,4099893892191;38,5826082355242;84,5781437843718;95,7767757581869
30;35,481;4,00552170440906;42,8453963031958;43,0322226767617;84,659067566215;94,3667467617469
31;31,623;4,42343911497033;47,823141919995;48,0272809630509;84,7154182869269;92,7367197658623
32;28,184;4,89634407429201;53,3753123545736;53,5994230775123;84,7586841676935;91,1466907698767
33;25,119;5,43004999374744;59,5515464803538;59,798596397711;84,7900431776034;89,5366567739417
34;22,387;6,02661479960978;66,4448643591425;66,7176145080722;84,8173970381844;87,7766267783853
35;19,953;6,70643037810695;74,0706346161432;74,3736184466951;84,8264881667448;86,0415927827659
36;17,783;7,47685382653466;82,6621568775137;82,9996115821397;84,8316180909647;84,2415617873105
37;15,849;8,33065582718561;92,1769093597631;92,5525928628096;84,8358195162354;81,521510794178
38;14,125;9,3148960172906;102,800788114192;103,221942070046;84,8225032715958;79,7314767986974
39;12,589;10,4353369709262;114,67194686458;115,14578435796;84,8003110640269;76,9314238057668
40;11,22;11,6680118443061;127,83513840399;128,366526443486;84,7848409906584;74,8663858109805
41;10;13,0821868492099;142,52056795572;143,119725765454;84,7554271493037;72,6813468164972
42;8,9125;14,6596192613427;158,868914950172;159,54383903596;84,7279648818962;70,4063058222412
43;7,9433;16,4265991031325;176,946984569973;177,707817797927;84,696236273776;68,0312618282376
44;7,0795;18,4230480993175;197,208880029508;198,067541671427;84,6629775865554;64,6711988367209
45;6,3096;20,6857150734744;219,848580019977;220,819602718828;84,6248228317398;62,3161528426668
46;5,6234;23,1788371184763;244,857666488182;245,952302953647;84,5923528793501;59,8861108488021
47;5,0119;26,0254923773139;272,673113663087;273,912309267408;84,5478768761059;57,5160668547859
48;4,4668;29,1197504244603;303,850796400017;305,242962798011;84,5257380582722;55,03101786106
49;3,9811;32,7161643734381;338,450771141623;340,028339844886;84,4786882866248;52,6059768671827
50;3,5481;36,5798029036975;376,872543926046;378,643627103062;84,456153320803;50,1009288735073
51;3,1623;40,9621404047195;419,859646028988;421,853077872051;84,4277719542704;47,5508798799456
52;2,8184;45,8538935180672;467,47971790719;469,723180400278;84,3979233563847;45,0208358863333
53;2,5119;51,3362115497881;520,623692891925;523,148579484557;84,3685417526124;42,3957848929609
54;2,2387;57,3814799240088;579,930919618473;582,76282119555;84,3492406110571;39,7057368997527
55;1,9953;64,2957987041331;645,734409260897;648,92748210761;84,3137990810785;36,9656849066706
56;1,7783;71,6457138824133;719,136049149277;722,696177867125;84,3105400192159;34,2156349136138
57;1,5849;79,9552820930252;800,317863599272;804,301889796784;84,2948297240285;31,3205829209231
58;1,4125;89,0413809538075;891,064660302896;895,502426776654;84,2935504508024;28,3905249283208
59;1,2589;99,334975183731;992,18347391625;997,143662271024;84,2827386985815;25,3354709360341
60;1,122;110,569525397019;1104,49155409611;1110,0122580477;84,2832245296025;22,0904119442271
61;1;121,699882112118;1223,54327109351;1229,58082188374;84,319751226354;16,570307958164
