Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;34,8718439304856;1,91726676021145;34,9245101746891;3,1469745749054;140,738604644669
2;891,25;34,8840995701417;2,11185618712238;34,9479661693588;3,46441358851782;139,533584647712
3;794,33;34,9177270432198;2,33479952041996;34,9956990309574;3,82543005209423;138,288562650855
4;707,95;34,9318953913536;2,58115023788786;35,0271273755502;4,22595853977572;137,068537653935
5;630,96;34,9797031623564;2,85943365065663;35,0963814962322;4,67328169488545;135,738514657293
6;562,34;35,0086538366134;3,1673918523579;35,1516459728162;5,16973409080957;134,438489660575
7;501,19;35,0567953389125;3,51427543036849;35,2324996449995;5,72450257828813;133,223467663643
8;446,68;35,1051152962975;3,90645707018295;35,3217995975222;6,34968543740489;131,983442666774
9;398,11;35,1423855997359;4,33303976549574;35,4085088538037;7,02906574384697;130,743421669905
10;354,81;35,1979298823673;4,81244319005646;35,5253976397389;7,78550162108707;129,483395673086
11;316,23;35,239349724981;5,35155942625518;35,6433858847929;8,63513979126022;127,568362677921
12;281,84;35,3047473653859;5,95303896017072;35,8031263913507;9,57110552695092;126,27333768119
13;251,19;35,3629133462698;6,63866818342385;35,9806552967757;10,6323671597857;125,038315684309
14;223,87;35,434537162958;7,36730184498412;36,1923135545126;11,7452068978809;123,783292687477
15;199,53;35,5011207668607;8,19682000020221;36,4351126500103;13,0011345704521;122,523269690658
16;177,83;35,5931560185581;9,12915474235929;36,7452612138131;14,3854794622088;121,173242694067
17;158,49;35,6703204225014;10,166360368731;37,090789182637;15,9080259050275;119,783217697576
18;141,25;35,7651589650419;11,3190083894675;37,5135515076292;17,5616118799736;118,468193700897
19;125,89;35,8818763017534;12,6081566700793;38,0325473976119;19,3604310447799;117,173170704166
20;112,2;35,9850676135116;14,0461478330007;38,6292552360968;21,3223263968754;115,878144707436
21;100;36,1299488054244;15,6618163058855;39,3784927426367;23,4360424416095;114,583122710705
22;89,125;36,2855100265969;17,4675261906718;40,2709909129645;25,7057556268222;113,248095714076
23;79,433;36,4111521467301;19,4549721688457;41,2827802206064;28,116194346874;111,898070717485
24;70,795;36,5900907040316;21,6963215259429;42,5389833621627;30,6660846043519;110,513048720981
25;63,096;36,7891519918326;24,1967944286063;44,0332438607286;33,3335382781614;109,178020724352
26;56,234;37,0182747618112;26,9964315316017;45,8165906826491;36,102264656915;107,652994728202
27;50,119;37,2435293199272;30,1011191746861;47,8869277754685;38,9459798102411;98,5978267510644
28;44,668;37,5190279758655;33,5861467684263;50,3558012050652;41,8341527036907;96,9927947551167
29;39,811;37,821842283834;37,4777863164344;53,245433803506;44,7382083015203;95,5277677588156
30;35,481;38,1212049681488;41,7886008803091;56,5642416351301;47,6276996101649;94,1727427622367
31;31,623;38,4909139016379;46,6309580159824;60,4648385301046;50,4624768054382;92,6827157659986
32;28,184;38,9241969216009;52,0428382056044;64,9888460775099;53,2062266117327;90,2326707721844
33;25,119;39,3614896682529;58,0585871456295;70,1436127544813;55,8642386351819;88,6226417762493
34;22,387;39,8697122308417;64,7797890992577;76,0658598131543;58,389144857536;86,8876107806299
35;19,953;40,4296589749272;72,2704343232686;82,8104643272985;60,7763979230618;85,2075787848715
36;17,783;41,097465775891;80,6861567529804;90,5497519862261;63,007997065278;83,4825477892268
37;15,849;41,8215653103331;90,03244394886;99,2717698462714;65,0843490044974;81,9125177931908
38;14,125;42,6255807473841;100,516836362642;109,181383607307;67,0199430372355;79,1024658002855
39;12,589;43,5171671448289;112,108681431716;120,25847283526;68,7853080789473;76,4574168069636
40;11,22;44,5471859310943;125,094258561193;132,78940205963;70,3987301128748;74,4573798120132
41;10;45,6822730743587;139,558717376055;146,845175844799;71,8749836584551;72,3123378174289
42;8,9125;46,9485847352817;155,689081433875;162,613836085278;73,219131999415;70,0622988231097
43;7,9433;48,3844671190433;173,727838988;180,339731334596;74,4370932301848;67,7072528290556
44;7,0795;49,9809204106376;193,789395833969;200,131012945993;75,5378132379734;65,3522098350015
45;6,3096;51,7563241293781;216,140764210492;222,251090078048;76,5337112995723;62,9721668410106
46;5,6234;53,796486589998;241,116601962538;247,045092465705;77,4225115339667;60,5871228470322
47;5,0119;56,0489862462784;269,064795290544;274,840595480322;78,2329722124046;58,2470778529403
48;4,4668;58,572490441728;300,201721087922;305,862403673117;78,9596950743568;55,8470338589998
49;3,9811;61,3427617645344;334,711247720025;340,285988208737;79,6146146341059;53,3819878652234
50;3,5481;64,4828299783501;373,343658797928;378,871380453368;80,2007179078268;49,9569248738709
51;3,1623;67,9645225485464;416,321309074975;421,832441515767;80,7282432033601;47,4918778800945
52;2,8184;71,9073454596576;464,592502098058;470,12430200617;81,2018516082048;45,0018318863813
53;2,5119;76,1737419503364;518,299531184387;523,867199764092;81,6391755121922;42,4567878928069
54;2,2387;80,9979976754767;577,793049578413;583,442785342795;82,0199862265581;39,7817368995608
55;1,9953;86,3355428659464;644,810299522313;650,564484376462;82,3738562365328;37,0866859063651
56;1,7783;92,2721569948928;718,81501169078;724,713165320258;82,6851136762661;34,3166369133588
57;1,5849;98,9431425956387;802,170358863157;808,249361339276;82,9684076880661;31,5015819204662
58;1,4125;106,480960480934;894,67936211314;900,993538232166;83,2128242870847;28,6165319277502
59;1,2589;114,395907115421;997,685704085162;1004,22267834413;83,4589589738689;25,6164749353246
60;1,122;123,690651371213;1112,64368271473;1119,49780791283;83,65657436703;22,616419942899
61;1;132,660632585374;1234,91665523872;1242,02173444104;83,8685280454852;17,2313219564951
