Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000;22,2413861328501;2,24231573570401;22,3541324360647;5,7569516300478;135,868517656965
2;891,25;22,2823482880964;2,4757257959308;22,4194617118402;6,33996141773974;134,663495660007
3;794,33;22,3212228990057;2,7352011452885;22,488181718678;6,98609042549898;133,4384736631
4;707,95;22,371884323937;3,02462215574181;22,575419096633;7,69955915590817;132,228448666155
5;630,96;22,4258671279902;3,34388158102049;22,6737967810898;8,48078932778937;130,963426669349
6;562,34;22,4829179427163;3,70015897365208;22,785363188881;9,34575941836873;129,708403672518
7;501,19;22,5452724099471;4,09657695508825;22,9144332416859;10,2985400668157;128,498381675573
8;446,68;22,605546089041;4,53478107127048;23,0559092934568;11,3432483416008;127,298356678603
9;398,11;22,682064514293;5,02492828698968;23,2320028176638;12,491417807115;126,073334681695
10;354,81;22,7545569869817;5,56669950438016;23,4255844547337;13,7468992240904;124,808312684889
11;316,23;22,8303109099784;6,17046291053372;23,6494758668464;15,1242613259698;123,528287688121
12;281,84;22,9165402815702;6,843079010683;23,9164284294976;16,6260842905415;122,228263691403
13;251,19;23,025522579335;7,58447949135395;24,2425043922083;18,2315964554439;120,93824069466
14;223,87;23,120466746464;8,42581108447826;24,6079311402983;20,0233001085393;119,668215697867
15;199,53;23,2303171853765;9,3501365181842;25,0414194773755;21,9246448156362;118,373194701136
16;177,83;23,3439520267822;10,3804121553656;25,547858085248;23,973396581847;117,118170704305
17;158,49;23,4678323668272;11,5260976776463;26,1455557154968;26,1577106460366;115,8131447076
18;141,25;23,6121056631476;12,8047960099715;26,8606465801668;28,4708852122133;114,453118711034
19;125,89;23,7652370149616;14,2337706133504;27,7017457256899;30,9187584643202;113,143094714341
20;112,2;23,9119973704574;15,8058962423681;28,6637397118601;33,4648135455905;111,813070717699
21;100;24,0912184623072;17,5788178702087;29,8228376368276;36,1173846903432;110,45804772112
22;89,125;24,2959501597849;19,5637252182847;31,1934694861488;38,8419133438267;109,158021724402
23;79,433;24,4954847054308;21,7572694494299;32,7628989078972;41,6119795665526;107,822998727773
24;70,795;24,7363241923802;24,2192009424305;34,6187150085089;44,394800123049;106,427972731295
25;63,096;24,9963666484192;26,9729442138128;36,7744213439676;47,1781122503616;105,072945734716
26;56,234;25,2627256736538;30,0191698385365;39,234625858509;49,9176074679107;103,52291673863
27;50,119;25,5790032255005;33,4372728452458;42,0991285104285;52,5845632056486;94,482751761454
28;44,668;25,9246613174981;37,2522706128779;45,3852369195322;55,165107798763;92,8627207655442
29;39,811;26,3095184455898;41,5176535934808;49,151869961855;57,637780125028;91,3776937692935
30;35,481;26,7370518291721;46,2693044537674;53,4389228479697;59,9782200028411;90,0076667727525
31;31,623;27,2016682522318;51,548720144031;58,2855153892638;62,1799033243256;88,6276437762367
32;28,184;27,739665314123;57,4613877017784;63,8067403050309;64,2309270669951;87,0376147802511
33;25,119;28,3246345941782;64,0445103553829;70,0284530141461;66,1418787533215;85,4225837843287
34;22,387;28,9940945338172;71,3728546806851;77,037276062346;67,8913286856102;83,7025497886714
35;19,953;29,7012759254812;79,5397413220736;84,9042769310472;69,5236495959272;82,0125187929383
36;17,783;30,5546104375828;88,7058180447229;93,8206074057076;70,9937939530268;80,2724857973315
37;15,849;31,4278680467803;98,8395787237856;103,715829130665;72,3609774662175;78,5474558016867
38;14,125;32,4968600348215;110,209581840422;114,900817410336;73,5710989639516;75,8874048084027
39;12,589;33,6232908275392;122,754633248532;127,276178721923;74,6820134430129;73,962370813263
40;11,22;34,9110081383607;136,92289594979;141,30342502754;75,6961495709723;71,9423338183631
41;10;36,3547443984619;152,645361872807;156,914862079911;76,6037332507465;69,8322958236904
42;8,9125;37,9362614335568;170,018328558758;174,199288108388;77,4216145665531;67,5872548293586
43;7,9433;39,7418735107968;189,546081841637;193,667585443886;78,1584044727129;65,2372118352919
44;7,0795;41,6701315693517;211,196968241845;215,268574714364;78,8386399019486;62,872166841263
45;6,3096;43,9451439277821;235,367120001231;239,434452100167;79,4241364367476;60,5121208472216
46;5,6234;46,4019744676059;262,359669631814;266,431491163877;79,9701629017167;58,1170778532685
47;5,0119;49,2082226243222;292,397054618688;296,508830768207;80,4470676840947;55,7470328592523
48;4,4668;52,2847774924007;326,04161916752;330,207261256939;80,8894852155175;53,3019878654254
49;3,9811;55,7018812459967;363,156539385953;367,403554246723;81,2797871252615;50,7919408717627
50;3,5481;59,4759163668909;404,8719950354;409,217200263657;81,6429908489921;48,2668938781378
51;3,1623;63,5924306924379;450,966866320965;455,428492477934;81,9734427502987;45,7068488846013
52;2,8184;68,5611103572446;502,991921361164;507,643082103966;82,2380432157567;43,1518018910522
53;2,5119;73,7778009823633;560,177560219917;565,015099702417;82,497081769198;40,6217528974399
54;2,2387;79,1525288221483;624,465051969265;629,46145549185;82,7761369822414;37,9867029040928
55;1,9953;85,9953467640088;695,743432530718;701,037890256075;82,9538589374961;35,2916559108971
56;1,7783;92,7827849568366;775,819465450483;781,347866290182;83,1802009257118;32,5266049178782
57;1,5849;100,759746032347;864,587273992536;870,438786343041;83,3526863508991;29,6715519250865
58;1,4125;109,254759548386;962,854191389332;969,032918099267;83,5263548489947;26,7464979324716
59;1,2589;119,034728018505;1073,93757755571;1080,51431594434;83,6751798406275;23,7964419399198
60;1,122;129,785963069127;1196,209678923;1203,22981685082;83,8077634199389;20,8713889473048
61;1;141,197242973607;1328,21006978391;1335,69407084808;83,9318816523538;15,7912969601308
